strain,fluorescence,stress,type
∆yoaI∆envZ,540.61194,No_stress,Phos
∆yoaI∆envZ,593.12305,No_stress,Phos
∆yoaI∆envZ,563.1884,No_stress,Phos
∆yoaI∆envZ,596.4203,No_stress,Phos
∆yoaI∆envZ,818.65515,No_stress,Phos
∆yoaI∆envZ,567.09186,No_stress,Phos
∆yoaI∆envZ,820.6061,No_stress,Phos
∆yoaI∆envZ,760.2985,No_stress,Phos
∆yoaI∆envZ,625.39703,No_stress,Phos
∆yoaI∆envZ,565.5056,No_stress,Phos
∆yoaI∆envZ,680.5417,No_stress,Phos
∆yoaI∆envZ,841.92957,No_stress,Phos
∆yoaI∆envZ,536.6667,No_stress,Phos
∆yoaI∆envZ,551.4516,No_stress,Phos
∆yoaI∆envZ,665.38354,No_stress,Phos
∆yoaI∆envZ,827.4507,No_stress,Phos
∆yoaI∆envZ,791.14813,No_stress,Phos
∆yoaI∆envZ,546.8427,No_stress,Phos
∆yoaI∆envZ,617.7077,No_stress,Phos
∆yoaI∆envZ,665.7838,No_stress,Phos
∆yoaI∆envZ,619.25806,No_stress,Phos
∆yoaI∆envZ,695.25745,No_stress,Phos
∆yoaI∆envZ,928.15704,No_stress,Phos
∆yoaI∆envZ,788.9439,No_stress,Phos
∆yoaI∆envZ,566.39435,No_stress,Phos
∆yoaI∆envZ,815.0323,No_stress,Phos
∆yoaI∆envZ,1022.01587,No_stress,Phos
∆yoaI∆envZ,780.1875,No_stress,Phos
∆yoaI∆envZ,643.56714,No_stress,Phos
∆yoaI∆envZ,661.55695,No_stress,Phos
∆yoaI∆envZ,638.92773,No_stress,Phos
∆yoaI∆envZ,757.7,No_stress,Phos
∆yoaI∆envZ,565.8378,No_stress,Phos
∆yoaI∆envZ,617.9375,No_stress,Phos
∆yoaI∆envZ,686.71643,No_stress,Phos
∆yoaI∆envZ,634.8148,No_stress,Phos
∆yoaI∆envZ,653.1625,No_stress,Phos
∆yoaI∆envZ,665.2754,No_stress,Phos
∆yoaI∆envZ,589.30304,No_stress,Phos
∆yoaI∆envZ,560.2159,No_stress,Phos
∆yoaI∆envZ,846.4923,No_stress,Phos
∆yoaI∆envZ,604.4143,No_stress,Phos
∆yoaI∆envZ,618.1489,No_stress,Phos
∆yoaI∆envZ,786.1558,No_stress,Phos
∆yoaI∆envZ,622.5,No_stress,Phos
∆yoaI∆envZ,667.91046,No_stress,Phos
∆yoaI∆envZ,568.38776,No_stress,Phos
∆yoaI∆envZ,623.942,No_stress,Phos
∆yoaI∆envZ,717.75,No_stress,Phos
∆yoaI∆envZ,822.01904,No_stress,Phos
∆yoaI∆envZ,567.5222,No_stress,Phos
∆yoaI∆envZ,550.3333,No_stress,Phos
∆yoaI∆envZ,710.6019,No_stress,Phos
∆yoaI∆envZ,820.7761,No_stress,Phos
∆yoaI∆envZ,1034.9275,No_stress,Phos
∆yoaI∆envZ,856.8941,No_stress,Phos
∆yoaI∆envZ,558.40155,No_stress,Phos
∆yoaI∆envZ,576.47125,No_stress,Phos
∆yoaI∆envZ,551.5,No_stress,Phos
∆yoaI∆envZ,674.2121,No_stress,Phos
∆yoaI∆envZ,563.46155,No_stress,Phos
∆yoaI∆envZ,627.71014,No_stress,Phos
∆yoaI∆envZ,563.2105,No_stress,Phos
∆yoaI∆envZ,589.9878,No_stress,Phos
∆yoaI∆envZ,667.9383,No_stress,Phos
∆yoaI∆envZ,606.32587,No_stress,Phos
∆yoaI∆envZ,749.37335,No_stress,Phos
∆yoaI∆envZ,661.65424,No_stress,Phos
∆yoaI∆envZ,706.2845,No_stress,Phos
∆yoaI∆envZ,561.3896,No_stress,Phos
∆yoaI∆envZ,606.84375,No_stress,Phos
∆yoaI∆envZ,611.5294,No_stress,Phos
∆yoaI∆envZ,716.91925,No_stress,Phos
∆yoaI∆envZ,762.1642,No_stress,Phos
∆yoaI∆envZ,633.81177,No_stress,Phos
∆yoaI∆envZ,992.3623,No_stress,Phos
∆yoaI∆envZ,722.93243,No_stress,Phos
∆yoaI∆envZ,615.4415,No_stress,Phos
∆yoaI∆envZ,691.7681,No_stress,Phos
∆yoaI∆envZ,781.74664,No_stress,Phos
∆yoaI∆envZ,773.2683,No_stress,Phos
∆yoaI∆envZ,721.0357,No_stress,Phos
∆yoaI∆envZ,655.8481,No_stress,Phos
∆yoaI∆envZ,579.5,No_stress,Phos
∆yoaI∆envZ,652.9286,No_stress,Phos
∆yoaI∆envZ,799.0615,No_stress,Phos
∆yoaI∆envZ,651.1719,No_stress,Phos
∆yoaI∆envZ,601.129,No_stress,Phos
∆yoaI∆envZ,595.8333,No_stress,Phos
∆yoaI∆envZ,855.75824,No_stress,Phos
∆yoaI∆envZ,670.9457,No_stress,Phos
∆yoaI∆envZ,621.15466,No_stress,Phos
∆yoaI∆envZ,660.0448,No_stress,Phos
∆yoaI∆envZ,768.6667,No_stress,Phos
∆yoaI∆envZ,619.3964,No_stress,Phos
∆yoaI∆envZ,708.6264,No_stress,Phos
∆yoaI∆envZ,575.6163,No_stress,Phos
∆yoaI∆envZ,630.68677,No_stress,Phos
∆yoaI∆envZ,633.08,No_stress,Phos
∆yoaI∆envZ,690.9867,No_stress,Phos
∆yoaI∆envZ,858.0615,No_stress,Phos
∆yoaI∆envZ,641.07355,No_stress,Phos
∆yoaI∆envZ,597.6923,No_stress,Phos
∆yoaI∆envZ,883.64197,No_stress,Phos
∆yoaI∆envZ,636.5493,No_stress,Phos
∆yoaI∆envZ,661.73834,No_stress,Phos
∆yoaI∆envZ,904.6,No_stress,Phos
∆yoaI∆envZ,904.4177,No_stress,Phos
∆yoaI∆envZ,589.7528,No_stress,Phos
∆yoaI∆envZ,937.9658,No_stress,Phos
∆yoaI∆envZ,631.6139,No_stress,Phos
∆yoaI∆envZ,560.8158,No_stress,Phos
∆yoaI∆envZ,754.3118,No_stress,Phos
∆yoaI∆envZ,664.8472,No_stress,Phos
∆yoaI∆envZ,610.9231,No_stress,Phos
∆yoaI∆envZ,682.32434,No_stress,Phos
∆yoaI∆envZ,715.44446,No_stress,Phos
∆yoaI∆envZ,679.5714,No_stress,Phos
∆yoaI∆envZ,689.61334,No_stress,Phos
∆yoaI∆envZ,707.2353,No_stress,Phos
∆yoaI∆envZ,1018.10126,No_stress,Phos
∆yoaI∆envZ,659.2875,No_stress,Phos
∆yoaI∆envZ,618.0353,No_stress,Phos
∆yoaI∆envZ,599.5455,No_stress,Phos
∆yoaI∆envZ,560.7625,No_stress,Phos
∆yoaI∆envZ,578.1549,No_stress,Phos
∆yoaI∆envZ,616.7288,No_stress,Phos
∆yoaI∆envZ,796.98096,No_stress,Phos
∆yoaI∆envZ,684.37933,No_stress,Phos
∆yoaI∆envZ,681.4268,No_stress,Phos
∆yoaI∆envZ,693.7528,No_stress,Phos
∆yoaI∆envZ,621.44,No_stress,Phos
∆yoaI∆envZ,723.1134,No_stress,Phos
∆yoaI∆envZ,599.2895,No_stress,Phos
∆yoaI∆envZ,582.09875,No_stress,Phos
∆yoaI∆envZ,694.5577,No_stress,Phos
∆yoaI∆envZ,631.64935,No_stress,Phos
∆yoaI∆envZ,672.0357,No_stress,Phos
∆yoaI∆envZ,741.64,No_stress,Phos
∆yoaI∆envZ,743.1951,No_stress,Phos
∆yoaI∆envZ,550.8837,No_stress,Phos
∆yoaI∆envZ,584.0449,No_stress,Phos
∆yoaI∆envZ,576.25775,No_stress,Phos
∆yoaI∆envZ,573.354,No_stress,Phos
∆yoaI∆envZ,825.8514,No_stress,Phos
∆yoaI∆envZ,589.2763,No_stress,Phos
∆yoaI∆envZ,670.35,No_stress,Phos
∆yoaI∆envZ,834.70734,No_stress,Phos
∆yoaI∆envZ,604.2568,No_stress,Phos
∆yoaI∆envZ,572.1905,No_stress,Phos
∆yoaI∆envZ,851.67706,No_stress,Phos
∆yoaI∆envZ,565.2439,No_stress,Phos
∆yoaI∆envZ,736.8955,No_stress,Phos
∆yoaI∆envZ,736.6667,No_stress,Phos
∆yoaI∆envZ,550.8077,No_stress,Phos
∆yoaI∆envZ,984.1933,No_stress,Phos
∆yoaI∆envZ,792.47675,No_stress,Phos
∆yoaI∆envZ,587.2921,No_stress,Phos
∆yoaI∆envZ,740.6923,No_stress,Phos
∆yoaI∆envZ,582.6286,No_stress,Phos
∆yoaI∆envZ,670.5185,No_stress,Phos
∆yoaI∆envZ,659.1923,No_stress,Phos
∆yoaI∆envZ,600.88464,No_stress,Phos
∆yoaI∆envZ,766.7619,No_stress,Phos
∆yoaI∆envZ,664.3826,No_stress,Phos
∆yoaI∆envZ,664.5658,No_stress,Phos
∆yoaI∆envZ,662.63336,No_stress,Phos
∆yoaI∆envZ,649.521,No_stress,Phos
∆yoaI∆envZ,724.44086,No_stress,Phos
∆yoaI∆envZ,1422.3491,No_stress,Phos
∆yoaI∆envZ,693.5455,No_stress,Phos
∆yoaI∆envZ,997.54944,No_stress,Phos
∆yoaI∆envZ,705.3375,No_stress,Phos
∆yoaI∆envZ,859.01263,No_stress,Phos
∆yoaI∆envZ,700.4684,No_stress,Phos
∆yoaI∆envZ,570.72974,No_stress,Phos
∆yoaI∆envZ,540.35956,No_stress,Phos
∆yoaI∆envZ,638.6087,No_stress,Phos
∆yoaI∆envZ,568.11926,No_stress,Phos
∆yoaI∆envZ,548.29895,No_stress,Phos
∆yoaI∆envZ,684.23914,No_stress,Phos
∆yoaI∆envZ,666.88544,No_stress,Phos
∆yoaI∆envZ,669.37976,No_stress,Phos
∆yoaI∆envZ,573.3038,No_stress,Phos
∆yoaI∆envZ,602.5517,No_stress,Phos
∆yoaI∆envZ,571.63416,No_stress,Phos
∆yoaI∆envZ,599.63416,No_stress,Phos
∆yoaI∆envZ,577.6111,No_stress,Phos
∆yoaI∆envZ,599,No_stress,Phos
∆yoaI∆envZ,687.7273,No_stress,Phos
∆yoaI∆envZ,557.58826,No_stress,Phos
∆yoaI∆envZ,845,No_stress,Phos
∆yoaI∆envZ,606.8642,No_stress,Phos
∆yoaI∆envZ,636.96075,No_stress,Phos
∆yoaI∆envZ,633.3415,No_stress,Phos
∆yoaI∆envZ,618.79816,No_stress,Phos
∆yoaI∆envZ,568.60675,No_stress,Phos
∆yoaI∆envZ,588.5223,No_stress,Phos
∆yoaI∆envZ,874.3084,No_stress,Phos
∆yoaI∆envZ,590.5034,No_stress,Phos
∆yoaI∆envZ,823.56177,No_stress,Phos
∆yoaI∆envZ,947.31195,No_stress,Phos
∆yoaI∆envZ,565.67224,No_stress,Phos
∆yoaI∆envZ,991.86206,low_phos,Phos
∆yoaI∆envZ,768.7536,low_phos,Phos
∆yoaI∆envZ,1319.8358,low_phos,Phos
∆yoaI∆envZ,780.0328,low_phos,Phos
∆yoaI∆envZ,776.28357,low_phos,Phos
∆yoaI∆envZ,1017.1132,low_phos,Phos
∆yoaI∆envZ,1107.6909,low_phos,Phos
∆yoaI∆envZ,760.01495,low_phos,Phos
∆yoaI∆envZ,773.86566,low_phos,Phos
∆yoaI∆envZ,770.35187,low_phos,Phos
∆yoaI∆envZ,767.125,low_phos,Phos
∆yoaI∆envZ,959.07465,low_phos,Phos
∆yoaI∆envZ,699.10846,low_phos,Phos
∆yoaI∆envZ,627.2241,low_phos,Phos
∆yoaI∆envZ,995.9524,low_phos,Phos
∆yoaI∆envZ,1173.3273,low_phos,Phos
∆yoaI∆envZ,752.9583,low_phos,Phos
∆yoaI∆envZ,1073.3279,low_phos,Phos
∆yoaI∆envZ,629.8889,low_phos,Phos
∆yoaI∆envZ,1070.2543,low_phos,Phos
∆yoaI∆envZ,705.1111,low_phos,Phos
∆yoaI∆envZ,621.6479,low_phos,Phos
∆yoaI∆envZ,1075.95,low_phos,Phos
∆yoaI∆envZ,954.9167,low_phos,Phos
∆yoaI∆envZ,692.4643,low_phos,Phos
∆yoaI∆envZ,1280.6,low_phos,Phos
∆yoaI∆envZ,968.19354,low_phos,Phos
∆yoaI∆envZ,809.39343,low_phos,Phos
∆yoaI∆envZ,804.54736,low_phos,Phos
∆yoaI∆envZ,803.97894,low_phos,Phos
∆yoaI∆envZ,1138.8182,low_phos,Phos
∆yoaI∆envZ,544.386,low_phos,Phos
∆yoaI∆envZ,1078.7576,low_phos,Phos
∆yoaI∆envZ,1310.8889,low_phos,Phos
∆yoaI∆envZ,698.7778,low_phos,Phos
∆yoaI∆envZ,872.2542,low_phos,Phos
∆yoaI∆envZ,780,low_phos,Phos
∆yoaI∆envZ,753.29895,low_phos,Phos
∆yoaI∆envZ,1208.8871,low_phos,Phos
∆yoaI∆envZ,880.01495,low_phos,Phos
∆yoaI∆envZ,1168.8271,low_phos,Phos
∆yoaI∆envZ,913.77106,low_phos,Phos
∆yoaI∆envZ,1093.418,low_phos,Phos
∆yoaI∆envZ,816.4133,low_phos,Phos
∆yoaI∆envZ,1206.0735,low_phos,Phos
∆yoaI∆envZ,968.8511,low_phos,Phos
∆yoaI∆envZ,1198.4058,low_phos,Phos
∆yoaI∆envZ,1032.25,low_phos,Phos
∆yoaI∆envZ,927.8116,low_phos,Phos
∆yoaI∆envZ,1124.0469,low_phos,Phos
∆yoaI∆envZ,621.0909,low_phos,Phos
∆yoaI∆envZ,776.70966,low_phos,Phos
∆yoaI∆envZ,1196.6316,low_phos,Phos
∆yoaI∆envZ,1071.7188,low_phos,Phos
∆yoaI∆envZ,586.74243,low_phos,Phos
∆yoaI∆envZ,1025.7455,low_phos,Phos
∆yoaI∆envZ,1499.9851,low_phos,Phos
∆yoaI∆envZ,669.9583,low_phos,Phos
∆yoaI∆envZ,818.1774,low_phos,Phos
∆yoaI∆envZ,831.3908,low_phos,Phos
∆yoaI∆envZ,757.6177,low_phos,Phos
∆yoaI∆envZ,609.0484,low_phos,Phos
∆yoaI∆envZ,840.3333,low_phos,Phos
∆yoaI∆envZ,781.91174,low_phos,Phos
∆yoaI∆envZ,936.1818,low_phos,Phos
∆yoaI∆envZ,1071.7073,low_phos,Phos
∆yoaI∆envZ,906.6932,low_phos,Phos
∆yoaI∆envZ,707.56165,low_phos,Phos
∆yoaI∆envZ,860.54236,low_phos,Phos
∆yoaI∆envZ,1140.7826,low_phos,Phos
∆yoaI∆envZ,1058.2297,low_phos,Phos
∆yoaI∆envZ,828.5977,low_phos,Phos
∆yoaI∆envZ,580.6292,low_phos,Phos
∆yoaI∆envZ,597.62335,low_phos,Phos
∆yoaI∆envZ,631.38354,low_phos,Phos
∆yoaI∆envZ,742.1385,low_phos,Phos
∆yoaI∆envZ,624.76056,low_phos,Phos
∆yoaI∆envZ,1460.2623,low_phos,Phos
∆yoaI∆envZ,752.80597,low_phos,Phos
∆yoaI∆envZ,831.0135,low_phos,Phos
∆yoaI∆envZ,1135.0164,low_phos,Phos
∆yoaI∆envZ,559.95654,low_phos,Phos
∆yoaI∆envZ,719.569,low_phos,Phos
∆yoaI∆envZ,625.4286,low_phos,Phos
∆yoaI∆envZ,642.6866,low_phos,Phos
∆yoaI∆envZ,1044.9735,low_phos,Phos
∆yoaI∆envZ,855.9722,low_phos,Phos
∆yoaI∆envZ,792.8889,low_phos,Phos
∆yoaI∆envZ,821.9365,low_phos,Phos
∆yoaI∆envZ,884.97144,low_phos,Phos
∆yoaI∆envZ,889.3077,low_phos,Phos
∆yoaI∆envZ,770.51044,low_phos,Phos
∆yoaI∆envZ,878.2295,low_phos,Phos
∆yoaI∆envZ,810.9531,low_phos,Phos
∆yoaI∆envZ,1271.9028,low_phos,Phos
∆yoaI∆envZ,630.9857,low_phos,Phos
∆yoaI∆envZ,690.8169,low_phos,Phos
∆yoaI∆envZ,1067.2295,low_phos,Phos
∆yoaI∆envZ,767.7679,low_phos,Phos
∆yoaI∆envZ,883.5714,low_phos,Phos
∆yoaI∆envZ,736.0541,low_phos,Phos
∆yoaI∆envZ,597.42645,low_phos,Phos
∆yoaI∆envZ,980.95123,low_phos,Phos
∆yoaI∆envZ,1224.8,low_phos,Phos
∆yoaI∆envZ,952.675,low_phos,Phos
∆yoaI∆envZ,1274.3103,low_phos,Phos
∆yoaI∆envZ,1249.4395,low_phos,Phos
∆yoaI∆envZ,941.71606,low_phos,Phos
∆yoaI∆envZ,1057.2632,low_phos,Phos
∆yoaI∆envZ,768.2778,low_phos,Phos
∆yoaI∆envZ,746.5469,low_phos,Phos
∆yoaI∆envZ,826.3205,low_phos,Phos
∆yoaI∆envZ,1047.4921,low_phos,Phos
∆yoaI∆envZ,884.9545,low_phos,Phos
∆yoaI∆envZ,811,low_phos,Phos
∆yoaI∆envZ,870.7766,low_phos,Phos
∆yoaI∆envZ,804.0154,low_phos,Phos
∆yoaI∆envZ,1508.2812,low_phos,Phos
∆yoaI∆envZ,1267.5964,low_phos,Phos
∆yoaI∆envZ,687.6,low_phos,Phos
∆yoaI∆envZ,606.6316,low_phos,Phos
∆yoaI∆envZ,1495.6268,low_phos,Phos
∆yoaI∆envZ,715.4507,low_phos,Phos
∆yoaI∆envZ,620.16925,low_phos,Phos
∆yoaI∆envZ,787.5972,low_phos,Phos
∆yoaI∆envZ,1128.9032,low_phos,Phos
∆yoaI∆envZ,542.5663,low_phos,Phos
∆yoaI∆envZ,834.2381,low_phos,Phos
∆yoaI∆envZ,821.0984,low_phos,Phos
∆yoaI∆envZ,710.11395,low_phos,Phos
∆yoaI∆envZ,819.15216,low_phos,Phos
∆yoaI∆envZ,875.59375,low_phos,Phos
∆yoaI∆envZ,793.1667,low_phos,Phos
∆yoaI∆envZ,783.2154,low_phos,Phos
∆yoaI∆envZ,811.2857,low_phos,Phos
∆yoaI∆envZ,871.2055,low_phos,Phos
∆yoaI∆envZ,671.6173,low_phos,Phos
∆yoaI∆envZ,858.89655,low_phos,Phos
∆yoaI∆envZ,836.1857,low_phos,Phos
∆yoaI∆envZ,868.28766,low_phos,Phos
∆yoaI∆envZ,1480.7426,low_phos,Phos
∆yoaI∆envZ,657.24243,low_phos,Phos
∆yoaI∆envZ,639.5541,low_phos,Phos
∆yoaI∆envZ,911.2027,low_phos,Phos
∆yoaI∆envZ,719.4,low_phos,Phos
∆yoaI∆envZ,898.625,low_phos,Phos
∆yoaI∆envZ,701,low_phos,Phos
∆yoaI∆envZ,848.5714,low_phos,Phos
∆yoaI∆envZ,658.8082,low_phos,Phos
∆yoaI∆envZ,837.7755,low_phos,Phos
∆yoaI∆envZ,582.57745,low_phos,Phos
∆yoaI∆envZ,824.5439,low_phos,Phos
∆yoaI∆envZ,992.2174,low_phos,Phos
∆yoaI∆envZ,636.4659,low_phos,Phos
∆yoaI∆envZ,660.10974,low_phos,Phos
∆yoaI∆envZ,935.2459,low_phos,Phos
∆yoaI∆envZ,1025.7693,low_phos,Phos
∆yoaI∆envZ,810.0625,low_phos,Phos
∆yoaI∆envZ,906.54877,low_phos,Phos
∆yoaI∆envZ,664.4603,low_phos,Phos
∆yoaI∆envZ,664.03,low_phos,Phos
∆yoaI∆envZ,937.78125,low_phos,Phos
∆yoaI∆envZ,652.5873,low_phos,Phos
∆yoaI∆envZ,944.08234,low_phos,Phos
∆yoaI∆envZ,903.0516,low_phos,Phos
∆yoaI∆envZ,856.7463,low_phos,Phos
∆yoaI∆envZ,671.0123,low_phos,Phos
∆yoaI∆envZ,981.42554,low_phos,Phos
∆yoaI∆envZ,648.73773,low_phos,Phos
∆yoaI∆envZ,674.30634,low_phos,Phos
∆yoaI∆envZ,913.1087,low_phos,Phos
∆yoaI∆envZ,914.2907,low_phos,Phos
∆yoaI∆envZ,907.7344,low_phos,Phos
∆yoaI∆envZ,682.33844,low_phos,Phos
∆yoaI∆envZ,994.7733,low_phos,Phos
∆yoaI∆envZ,1154.8462,low_phos,Phos
∆yoaI∆envZ,845.2353,low_phos,Phos
∆yoaI∆envZ,852.4343,low_phos,Phos
∆yoaI∆envZ,1129.7222,low_phos,Phos
∆yoaI∆envZ,864.275,low_phos,Phos
∆yoaI∆envZ,1541.8,low_phos,Phos
∆yoaI∆envZ,543.4868,low_phos,Phos
∆yoaI∆envZ,591,low_phos,Phos
∆yoaI∆envZ,604.1857,low_phos,Phos
∆yoaI∆envZ,889.0921,low_phos,Phos
∆yoaI∆envZ,668.9524,low_phos,Phos
∆yoaI∆envZ,844.2371,low_phos,Phos
∆yoaI∆envZ,564.4805,low_phos,Phos
∆yoaI∆envZ,664.6286,low_phos,Phos
∆yoaI∆envZ,876.4776,low_phos,Phos
∆yoaI∆envZ,904.7475,low_phos,Phos
∆yoaI∆envZ,679.02,low_phos,Phos
∆yoaI∆envZ,957.01587,low_phos,Phos
∆yoaI∆envZ,674.4697,low_phos,Phos
∆yoaI∆envZ,856.3495,low_phos,Phos
∆yoaI∆envZ,847.3108,low_phos,Phos
∆yoaI∆envZ,671.402,low_phos,Phos
∆yoaI∆envZ,1140.4714,low_phos,Phos
∆yoaI∆envZ,1265.595,low_phos,Phos
∆yoaI∆envZ,951.0405,low_phos,Phos
∆yoaI∆envZ,832.3579,low_phos,Phos
∆yoaI∆envZ,926.6076,low_phos,Phos
∆yoaI∆envZ,542.25,low_phos,Phos
∆yoaI∆envZ,788.17444,low_phos,Phos
∆yoaI∆envZ,1194.395,low_phos,Phos
∆yoaI∆envZ,903.8,low_phos,Phos
∆yoaI∆envZ,989.1975,low_phos,Phos
∆yoaI∆envZ,539.7231,low_phos,Phos
∆yoaI∆envZ,668.37933,low_phos,Phos
∆yoaI∆envZ,1000.2593,low_phos,Phos
∆yoaI∆envZ,664.33734,low_phos,Phos
∆yoaI∆envZ,942.73846,low_phos,Phos
∆yoaI∆envZ,1875.0135,low_phos,Phos
∆yoaI∆envZ,662,low_phos,Phos
∆yoaI∆envZ,928.5357,low_phos,Phos
∆yoaI∆envZ,661.9888,low_phos,Phos
∆yoaI∆envZ,673.2371,low_phos,Phos
∆yoaI∆envZ,662.1184,low_phos,Phos
∆yoaI∆envZ,865.012,low_phos,Phos
∆yoaI∆envZ,546.69135,low_phos,Phos
∆yoaI∆envZ,564,low_phos,Phos
∆yoaI∆envZ,668.71606,low_phos,Phos
∆yoaI∆envZ,908.42645,low_phos,Phos
∆yoaI∆envZ,1183.2826,low_phos,Phos
∆yoaI∆envZ,1212.7848,low_phos,Phos
∆yoaI∆envZ,954.12,low_phos,Phos
∆yoaI∆envZ,987.2439,low_phos,Phos
∆yoaI∆envZ,880.4415,low_phos,Phos
∆yoaI∆envZ,1493.3478,low_phos,Phos
∆yoaI∆envZ,1268.2593,low_phos,Phos
∆yoaI∆envZ,665.4557,low_phos,Phos
∆yoaI∆envZ,1151.183,low_phos,Phos
∆yoaI∆envZ,683.5679,low_phos,Phos
∆yoaI∆envZ,603.0284,low_phos,Phos