hour,replicate,vector,OD
0,1,pEmpty,0.133
0,2,pEmpty,0.151
0,3,pEmpty,0.151
0,4,pEmpty,0.154
0,5,pEmpty,0.157
0,6,pEmpty,0.157
0,7,pEmpty,0.157
0,8,pEmpty,0.134
0,1,pYoaI_E31A,0.135
0,2,pYoaI_E31A,0.15
0,3,pYoaI_E31A,0.159
0,4,pYoaI_E31A,0.16
0,5,pYoaI_E31A,0.154
0,6,pYoaI_E31A,0.16
0,7,pYoaI_E31A,0.164
0,8,pYoaI_E31A,0.143
0,1,pYoaI_E31Q,0.135
0,2,pYoaI_E31Q,0.149
0,3,pYoaI_E31Q,0.153
0,4,pYoaI_E31Q,0.156
0,5,pYoaI_E31Q,0.16
0,6,pYoaI_E31Q,0.159
0,7,pYoaI_E31Q,0.162
0,8,pYoaI_E31Q,0.135
1,1,pEmpty,0.165
1,2,pEmpty,0.17
1,3,pEmpty,0.173
1,4,pEmpty,0.171
1,5,pEmpty,0.167
1,6,pEmpty,0.17
1,7,pEmpty,0.169
1,8,pEmpty,0.172
1,1,pYoaI_E31A,0.146
1,2,pYoaI_E31A,0.148
1,3,pYoaI_E31A,0.148
1,4,pYoaI_E31A,0.148
1,5,pYoaI_E31A,0.143
1,6,pYoaI_E31A,0.145
1,7,pYoaI_E31A,0.158
1,8,pYoaI_E31A,0.159
1,1,pYoaI_E31Q,0.142
1,2,pYoaI_E31Q,0.145
1,3,pYoaI_E31Q,0.143
1,4,pYoaI_E31Q,0.142
1,5,pYoaI_E31Q,0.145
1,6,pYoaI_E31Q,0.147
1,7,pYoaI_E31Q,0.141
1,8,pYoaI_E31Q,0.144
2,1,pEmpty,0.208
2,2,pEmpty,0.203
2,3,pEmpty,0.208
2,4,pEmpty,0.213
2,5,pEmpty,0.208
2,6,pEmpty,0.195
2,7,pEmpty,0.188
2,8,pEmpty,0.212
2,1,pYoaI_E31A,0.137
2,2,pYoaI_E31A,0.136
2,3,pYoaI_E31A,0.135
2,4,pYoaI_E31A,0.135
2,5,pYoaI_E31A,0.141
2,6,pYoaI_E31A,0.14
2,7,pYoaI_E31A,0.142
2,8,pYoaI_E31A,0.146
2,1,pYoaI_E31Q,0.132
2,2,pYoaI_E31Q,0.139
2,3,pYoaI_E31Q,0.136
2,4,pYoaI_E31Q,0.135
2,5,pYoaI_E31Q,0.138
2,6,pYoaI_E31Q,0.141
2,7,pYoaI_E31Q,0.138
2,8,pYoaI_E31Q,0.137
3,1,pEmpty,0.253
3,2,pEmpty,0.249
3,3,pEmpty,0.256
3,4,pEmpty,0.266
3,5,pEmpty,0.248
3,6,pEmpty,0.24
3,7,pEmpty,0.235
3,8,pEmpty,0.28
3,1,pYoaI_E31A,0.13
3,2,pYoaI_E31A,0.129
3,3,pYoaI_E31A,0.129
3,4,pYoaI_E31A,0.13
3,5,pYoaI_E31A,0.15
3,6,pYoaI_E31A,0.15
3,7,pYoaI_E31A,0.135
3,8,pYoaI_E31A,0.138
3,1,pYoaI_E31Q,0.129
3,2,pYoaI_E31Q,0.132
3,3,pYoaI_E31Q,0.131
3,4,pYoaI_E31Q,0.131
3,5,pYoaI_E31Q,0.132
3,6,pYoaI_E31Q,0.135
3,7,pYoaI_E31Q,0.132
3,8,pYoaI_E31Q,0.132
4,1,pEmpty,0.422
4,2,pEmpty,0.418
4,3,pEmpty,0.431
4,4,pEmpty,0.445
4,5,pEmpty,0.418
4,6,pEmpty,0.402
4,7,pEmpty,0.419
4,8,pEmpty,0.398
4,1,pYoaI_E31A,0.128
4,2,pYoaI_E31A,0.125
4,3,pYoaI_E31A,0.125
4,4,pYoaI_E31A,0.127
4,5,pYoaI_E31A,0.127
4,6,pYoaI_E31A,0.129
4,7,pYoaI_E31A,0.132
4,8,pYoaI_E31A,0.136
4,1,pYoaI_E31Q,0.128
4,2,pYoaI_E31Q,0.126
4,3,pYoaI_E31Q,0.127
4,4,pYoaI_E31Q,0.129
4,5,pYoaI_E31Q,0.129
4,6,pYoaI_E31Q,0.133
4,7,pYoaI_E31Q,0.13
4,8,pYoaI_E31Q,0.131
5,1,pEmpty,0.44
5,2,pEmpty,0.413
5,3,pEmpty,0.428
5,4,pEmpty,0.443
5,5,pEmpty,0.425
5,6,pEmpty,0.419
5,7,pEmpty,0.413
5,8,pEmpty,0.474
5,1,pYoaI_E31A,0.127
5,2,pYoaI_E31A,0.126
5,3,pYoaI_E31A,0.124
5,4,pYoaI_E31A,0.126
5,5,pYoaI_E31A,0.127
5,6,pYoaI_E31A,0.129
5,7,pYoaI_E31A,0.13
5,8,pYoaI_E31A,0.136
5,1,pYoaI_E31Q,0.127
5,2,pYoaI_E31Q,0.127
5,3,pYoaI_E31Q,0.127
5,4,pYoaI_E31Q,0.127
5,5,pYoaI_E31Q,0.129
5,6,pYoaI_E31Q,0.131
5,7,pYoaI_E31Q,0.129
5,8,pYoaI_E31Q,0.131
6,1,pEmpty,0.524
6,2,pEmpty,0.443
6,3,pEmpty,0.459
6,4,pEmpty,0.484
6,5,pEmpty,0.461
6,6,pEmpty,0.464
6,7,pEmpty,0.453
6,8,pEmpty,0.464
6,1,pYoaI_E31A,0.127
6,2,pYoaI_E31A,0.122
6,3,pYoaI_E31A,0.123
6,4,pYoaI_E31A,0.127
6,5,pYoaI_E31A,0.127
6,6,pYoaI_E31A,0.129
6,7,pYoaI_E31A,0.129
6,8,pYoaI_E31A,0.137
6,1,pYoaI_E31Q,0.126
6,2,pYoaI_E31Q,0.125
6,3,pYoaI_E31Q,0.126
6,4,pYoaI_E31Q,0.127
6,5,pYoaI_E31Q,0.127
6,6,pYoaI_E31Q,0.129
6,7,pYoaI_E31Q,0.126
6,8,pYoaI_E31Q,0.131
7,1,pEmpty,0.597
7,2,pEmpty,0.47
7,3,pEmpty,0.479
7,4,pEmpty,0.511
7,5,pEmpty,0.487
7,6,pEmpty,0.496
7,7,pEmpty,0.494
7,8,pEmpty,0.464
7,1,pYoaI_E31A,0.128
7,2,pYoaI_E31A,0.122
7,3,pYoaI_E31A,0.123
7,4,pYoaI_E31A,0.131
7,5,pYoaI_E31A,0.127
7,6,pYoaI_E31A,0.129
7,7,pYoaI_E31A,0.128
7,8,pYoaI_E31A,0.135
7,1,pYoaI_E31Q,0.126
7,2,pYoaI_E31Q,0.124
7,3,pYoaI_E31Q,0.125
7,4,pYoaI_E31Q,0.128
7,5,pYoaI_E31Q,0.127
7,6,pYoaI_E31Q,0.128
7,7,pYoaI_E31Q,0.125
7,8,pYoaI_E31Q,0.13
8,1,pEmpty,0.532
8,2,pEmpty,0.494
8,3,pEmpty,0.49
8,4,pEmpty,0.532
8,5,pEmpty,0.502
8,6,pEmpty,0.514
8,7,pEmpty,0.524
8,8,pEmpty,0.532
8,1,pYoaI_E31A,0.127
8,2,pYoaI_E31A,0.126
8,3,pYoaI_E31A,0.126
8,4,pYoaI_E31A,0.15
8,5,pYoaI_E31A,0.127
8,6,pYoaI_E31A,0.129
8,7,pYoaI_E31A,0.126
8,8,pYoaI_E31A,0.135
8,1,pYoaI_E31Q,0.124
8,2,pYoaI_E31Q,0.122
8,3,pYoaI_E31Q,0.125
8,4,pYoaI_E31Q,0.129
8,5,pYoaI_E31Q,0.127
8,6,pYoaI_E31Q,0.129
8,7,pYoaI_E31Q,0.124
8,8,pYoaI_E31Q,0.131
9,1,pEmpty,0.532
9,2,pEmpty,0.512
9,3,pEmpty,0.497
9,4,pEmpty,0.547
9,5,pEmpty,0.514
9,6,pEmpty,0.528
9,7,pEmpty,0.579
9,8,pEmpty,0.532
9,1,pYoaI_E31A,0.127
9,2,pYoaI_E31A,0.142
9,3,pYoaI_E31A,0.145
9,4,pYoaI_E31A,0.181
9,5,pYoaI_E31A,0.127
9,6,pYoaI_E31A,0.129
9,7,pYoaI_E31A,0.124
9,8,pYoaI_E31A,0.135
9,1,pYoaI_E31Q,0.123
9,2,pYoaI_E31Q,0.12
9,3,pYoaI_E31Q,0.128
9,4,pYoaI_E31Q,0.136
9,5,pYoaI_E31Q,0.137
9,6,pYoaI_E31Q,0.139
9,7,pYoaI_E31Q,0.126
9,8,pYoaI_E31Q,0.136
10,1,pEmpty,0.621
10,2,pEmpty,0.529
10,3,pEmpty,0.507
10,4,pEmpty,0.562
10,5,pEmpty,0.524
10,6,pEmpty,0.543
10,7,pEmpty,0.621
10,8,pEmpty,0.532
10,1,pYoaI_E31A,0.133
10,2,pYoaI_E31A,0.167
10,3,pYoaI_E31A,0.183
10,4,pYoaI_E31A,0.241
10,5,pYoaI_E31A,0.151
10,6,pYoaI_E31A,0.159
10,7,pYoaI_E31A,0.124
10,8,pYoaI_E31A,0.135
10,1,pYoaI_E31Q,0.121
10,2,pYoaI_E31Q,0.12
10,3,pYoaI_E31Q,0.139
10,4,pYoaI_E31Q,0.151
10,5,pYoaI_E31Q,0.159
10,6,pYoaI_E31Q,0.158
10,7,pYoaI_E31Q,0.139
10,8,pYoaI_E31Q,0.15
11,1,pEmpty,0.621
11,2,pEmpty,0.544
11,3,pEmpty,0.52
11,4,pEmpty,0.576
11,5,pEmpty,0.535
11,6,pEmpty,0.558
11,7,pEmpty,0.646
11,8,pEmpty,0.558
11,1,pYoaI_E31A,0.254
11,2,pYoaI_E31A,0.119
11,3,pYoaI_E31A,0.201
11,4,pYoaI_E31A,0.343
11,5,pYoaI_E31A,0.201
11,6,pYoaI_E31A,0.167
11,7,pYoaI_E31A,0.126
11,8,pYoaI_E31A,0.141
11,1,pYoaI_E31Q,0.12
11,2,pYoaI_E31Q,0.119
11,3,pYoaI_E31Q,0.159
11,4,pYoaI_E31Q,0.173
11,5,pYoaI_E31Q,0.192
11,6,pYoaI_E31Q,0.201
11,7,pYoaI_E31Q,0.167
11,8,pYoaI_E31Q,0.186
12,1,pEmpty,0.651
12,2,pEmpty,0.555
12,3,pEmpty,0.529
12,4,pEmpty,0.588
12,5,pEmpty,0.545
12,6,pEmpty,0.567
12,7,pEmpty,0.661
12,8,pEmpty,0.588
12,1,pYoaI_E31A,0.292
12,2,pYoaI_E31A,0.264
12,3,pYoaI_E31A,0.222
12,4,pYoaI_E31A,0.186
12,5,pYoaI_E31A,0.264
12,6,pYoaI_E31A,0.222
12,7,pYoaI_E31A,0.138
12,8,pYoaI_E31A,0.16
12,1,pYoaI_E31Q,0.119
12,2,pYoaI_E31Q,0.118
12,3,pYoaI_E31Q,0.204
12,4,pYoaI_E31Q,0.225
12,5,pYoaI_E31Q,0.254
12,6,pYoaI_E31Q,0.264
12,7,pYoaI_E31Q,0.222
12,8,pYoaI_E31Q,0.26
13,1,pEmpty,0.691
13,2,pEmpty,0.567
13,3,pEmpty,0.542
13,4,pEmpty,0.6
13,5,pEmpty,0.551
13,6,pEmpty,0.575
13,7,pEmpty,0.661
13,8,pEmpty,0.661
13,1,pYoaI_E31A,0.246
13,2,pYoaI_E31A,0.364
13,3,pYoaI_E31A,0.225
13,4,pYoaI_E31A,0.273
13,5,pYoaI_E31A,0.302
13,6,pYoaI_E31A,0.325
13,7,pYoaI_E31A,0.268
13,8,pYoaI_E31A,0.299
13,1,pYoaI_E31Q,0.217
13,2,pYoaI_E31Q,0.217
13,3,pYoaI_E31Q,0.278
13,4,pYoaI_E31Q,0.315
13,5,pYoaI_E31Q,0.335
13,6,pYoaI_E31Q,0.34
13,7,pYoaI_E31Q,0.323
13,8,pYoaI_E31Q,0.406
14,1,pEmpty,0.725
14,2,pEmpty,0.579
14,3,pEmpty,0.552
14,4,pEmpty,0.608
14,5,pEmpty,0.56
14,6,pEmpty,0.583
14,7,pEmpty,0.655
14,8,pEmpty,0.725
14,1,pYoaI_E31A,0.313
14,2,pYoaI_E31A,0.415
14,3,pYoaI_E31A,0.499
14,4,pYoaI_E31A,0.429
14,5,pYoaI_E31A,0.498
14,6,pYoaI_E31A,0.423
14,7,pYoaI_E31A,0.309
14,8,pYoaI_E31A,0.357
14,1,pYoaI_E31Q,0.317
14,2,pYoaI_E31Q,0.317
14,3,pYoaI_E31Q,0.355
14,4,pYoaI_E31Q,0.448
14,5,pYoaI_E31Q,0.415
14,6,pYoaI_E31Q,0.422
14,7,pYoaI_E31Q,0.459
14,8,pYoaI_E31Q,0.644
15,1,pEmpty,0.751
15,2,pEmpty,0.589
15,3,pEmpty,0.561
15,4,pEmpty,0.619
15,5,pEmpty,0.57
15,6,pEmpty,0.592
15,7,pEmpty,0.648
15,8,pEmpty,0.751
15,1,pYoaI_E31A,0.399
15,2,pYoaI_E31A,0.599
15,3,pYoaI_E31A,0.551
15,4,pYoaI_E31A,0.527
15,5,pYoaI_E31A,0.501
15,6,pYoaI_E31A,0.528
15,7,pYoaI_E31A,0.405
15,8,pYoaI_E31A,0.435
15,1,pYoaI_E31Q,0.413
15,2,pYoaI_E31Q,0.433
15,3,pYoaI_E31Q,0.483
15,4,pYoaI_E31Q,0.599
15,5,pYoaI_E31Q,0.553
15,6,pYoaI_E31Q,0.549
15,7,pYoaI_E31Q,0.632
15,8,pYoaI_E31Q,0.545
16,1,pEmpty,0.765
16,2,pEmpty,0.597
16,3,pEmpty,0.572
16,4,pEmpty,0.629
16,5,pEmpty,0.574
16,6,pEmpty,0.598
16,7,pEmpty,0.648
16,8,pEmpty,0.765
16,1,pYoaI_E31A,0.511
16,2,pYoaI_E31A,0.552
16,3,pYoaI_E31A,0.565
16,4,pYoaI_E31A,0.636
16,5,pYoaI_E31A,0.604
16,6,pYoaI_E31A,0.64
16,7,pYoaI_E31A,0.592
16,8,pYoaI_E31A,0.527
16,1,pYoaI_E31Q,0.55
16,2,pYoaI_E31Q,0.5
16,3,pYoaI_E31Q,0.559
16,4,pYoaI_E31Q,0.627
16,5,pYoaI_E31Q,0.588
16,6,pYoaI_E31Q,0.598
16,7,pYoaI_E31Q,0.715
16,8,pYoaI_E31Q,0.559
17,1,pEmpty,0.781
17,2,pEmpty,0.602
17,3,pEmpty,0.585
17,4,pEmpty,0.633
17,5,pEmpty,0.584
17,6,pEmpty,0.609
17,7,pEmpty,0.647
17,8,pEmpty,0.781
17,1,pYoaI_E31A,0.554
17,2,pYoaI_E31A,0.1
17,3,pYoaI_E31A,0.7
17,4,pYoaI_E31A,0.741
17,5,pYoaI_E31A,0.714
17,6,pYoaI_E31A,0.71
17,7,pYoaI_E31A,0.63
17,8,pYoaI_E31A,0.643
17,1,pYoaI_E31Q,0.659
17,2,pYoaI_E31Q,0.627
17,3,pYoaI_E31Q,0.692
17,4,pYoaI_E31Q,0.644
17,5,pYoaI_E31Q,0.601
17,6,pYoaI_E31Q,0.608
17,7,pYoaI_E31Q,0.644
17,8,pYoaI_E31Q,0.559
18,1,pEmpty,0.809
18,2,pEmpty,0.607
18,3,pEmpty,0.593
18,4,pEmpty,0.634
18,5,pEmpty,0.588
18,6,pEmpty,0.622
18,7,pEmpty,0.649
18,8,pEmpty,0.781
18,1,pYoaI_E31A,0.572
18,2,pYoaI_E31A,0.709
18,3,pYoaI_E31A,0.65
18,4,pYoaI_E31A,0.699
18,5,pYoaI_E31A,0.718
18,6,pYoaI_E31A,0.65
18,7,pYoaI_E31A,0.63
18,8,pYoaI_E31A,0.699
18,1,pYoaI_E31Q,0.678
18,2,pYoaI_E31Q,0.63
18,3,pYoaI_E31Q,0.612
18,4,pYoaI_E31Q,0.661
18,5,pYoaI_E31Q,0.609
18,6,pYoaI_E31Q,0.62
18,7,pYoaI_E31Q,0.627
18,8,pYoaI_E31Q,0.627
19,1,pEmpty,0.899
19,2,pEmpty,0.612
19,3,pEmpty,0.599
19,4,pEmpty,0.689
19,5,pEmpty,0.682
19,6,pEmpty,0.733
19,7,pEmpty,0.743
19,8,pEmpty,0.787
19,1,pYoaI_E31A,0.612
19,2,pYoaI_E31A,0.681
19,3,pYoaI_E31A,0.681
19,4,pYoaI_E31A,0.735
19,5,pYoaI_E31A,0.718
19,6,pYoaI_E31A,0.752
19,7,pYoaI_E31A,0.627
19,8,pYoaI_E31A,0.627
19,1,pYoaI_E31Q,0.681
19,2,pYoaI_E31Q,0.627
19,3,pYoaI_E31Q,0.625
19,4,pYoaI_E31Q,0.67
19,5,pYoaI_E31Q,0.618
19,6,pYoaI_E31Q,0.628
19,7,pYoaI_E31Q,0.681
19,8,pYoaI_E31Q,0.726
20,1,pEmpty,0.904
20,2,pEmpty,0.652
20,3,pEmpty,0.609
20,4,pEmpty,0.699
20,5,pEmpty,0.702
20,6,pEmpty,0.733
20,7,pEmpty,0.743
20,8,pEmpty,0.787
20,1,pYoaI_E31A,0.612
20,2,pYoaI_E31A,0.681
20,3,pYoaI_E31A,0.681
20,4,pYoaI_E31A,0.735
20,5,pYoaI_E31A,0.718
20,6,pYoaI_E31A,0.752
20,7,pYoaI_E31A,0.627
20,8,pYoaI_E31A,0.627
20,1,pYoaI_E31Q,0.681
20,2,pYoaI_E31Q,0.627
20,3,pYoaI_E31Q,0.625
20,4,pYoaI_E31Q,0.67
20,5,pYoaI_E31Q,0.618
20,6,pYoaI_E31Q,0.628
20,7,pYoaI_E31Q,0.681
20,8,pYoaI_E31Q,0.726
0,1,pYoaI,0.143
0,2,pYoaI,0.142
0,3,pYoaI,0.14
0,4,pYoaI,0.15
1,5,pYoaI,0.143
1,6,pYoaI,0.132
1,7,pYoaI,0.13
1,8,pYoaI,0.15
2,1,pYoaI,0.135
2,2,pYoaI,0.134
2,3,pYoaI,0.143
2,4,pYoaI,0.132
3,5,pYoaI,0.139
3,6,pYoaI,0.133
3,7,pYoaI,0.134
3,8,pYoaI,0.135
4,1,pYoaI,0.139
4,2,pYoaI,0.13
4,3,pYoaI,0.132
4,4,pYoaI,0.136
5,5,pYoaI,0.139
5,6,pYoaI,0.134
5,7,pYoaI,0.132
5,8,pYoaI,0.136
6,1,pYoaI,0.132
6,2,pYoaI,0.136
6,3,pYoaI,0.137
6,4,pYoaI,0.133
7,5,pYoaI,0.132
7,6,pYoaI,0.136
7,7,pYoaI,0.137
7,8,pYoaI,0.133
8,1,pYoaI,0.135
8,2,pYoaI,0.15
8,3,pYoaI,0.137
8,4,pYoaI,0.14
9,5,pYoaI,0.155
9,6,pYoaI,0.166
9,7,pYoaI,0.177
9,8,pYoaI,0.13
10,1,pYoaI,0.175
10,2,pYoaI,0.176
10,3,pYoaI,0.187
10,4,pYoaI,0.22
11,5,pYoaI,0.195
11,6,pYoaI,0.216
11,7,pYoaI,0.237
11,8,pYoaI,0.29
12,1,pYoaI,0.295
12,2,pYoaI,0.296
12,3,pYoaI,0.247
12,4,pYoaI,0.32
13,5,pYoaI,0.32
13,6,pYoaI,0.33
13,7,pYoaI,0.387
13,8,pYoaI,0.34
14,1,pYoaI,0.39
14,2,pYoaI,0.42
14,3,pYoaI,0.4
14,4,pYoaI,0.45
15,5,pYoaI,0.445
15,6,pYoaI,0.499
15,7,pYoaI,0.52
15,8,pYoaI,0.55
16,1,pYoaI,0.597
16,2,pYoaI,0.547
16,3,pYoaI,0.52
16,4,pYoaI,0.599
17,5,pYoaI,0.597
17,6,pYoaI,0.559
17,7,pYoaI,0.658
17,8,pYoaI,0.64
18,1,pYoaI,0.697
18,2,pYoaI,0.598
18,3,pYoaI,0.739
18,4,pYoaI,0.622
19,5,pYoaI,0.727
19,6,pYoaI,0.624
19,7,pYoaI,0.77
19,8,pYoaI,0.64
20,1,pYoaI,0.767
20,2,pYoaI,0.692
20,3,pYoaI,0.769
20,4,pYoaI,0.66