strain,replicate,Î²-galactosidase activity (MU)
pUT18C-YoaI/pKT25,1,29
pUT18C-YoaI/pKT25,2,38
pUT18C-YoaI/pKT25,3,26
pUT18C-YoaI/pKT25,4,27
pUT18C-YoaI/pKT25,5,22
pUT18C-YoaI/pKT25,6,28
pUT18C-YoaI/pKT25,7,17
pUT18C-YoaI/pKT25,8,24
pUT18C-MgrB/pKT25-PhoQ,1,1102
pUT18C-MgrB/pKT25-PhoQ,2,1245
pUT18C-MgrB/pKT25-PhoQ,3,1312
pUT18C-MgrB/pKT25-PhoQ,4,1322
pUT18C-MgrB/pKT25-PhoQ,5,1571
pUT18C-MgrB/pKT25-PhoQ,6,1209
pUT18C-MgrB/pKT25-PhoQ,7,1491
pUT18C-MgrB/pKT25-PhoQ,8,1370
pUT18C-YoaI/pKT25-PhoQ,1,39
pUT18C-YoaI/pKT25-PhoQ,2,30
pUT18C-YoaI/pKT25-PhoQ,3,29
pUT18C-YoaI/pKT25-PhoQ,4,53
pUT18C-YoaI/pKT25-PhoQ,5,46
pUT18C-YoaI/pKT25-PhoQ,6,26
pUT18C-YoaI/pKT25-PhoQ,7,21
pUT18C-YoaI/pKT25-PhoQ,8,38
pUT18C-YoaI/pKT25-PhoR,1,72
pUT18C-YoaI/pKT25-PhoR,2,41
pUT18C-YoaI/pKT25-PhoR,3,36
pUT18C-YoaI/pKT25-PhoR,4,84
pUT18C-YoaI/pKT25-PhoR,5,30
pUT18C-YoaI/pKT25-PhoR,6,23
pUT18C-YoaI/pKT25-PhoR,7,60
pUT18C-YoaI/pKT25-PhoR,8,35
pUT18C-YoaI/pKT25-EnvZ,1,1431
pUT18C-YoaI/pKT25-EnvZ,2,1266
pUT18C-YoaI/pKT25-EnvZ,3,1409
pUT18C-YoaI/pKT25-EnvZ,4,1562
pUT18C-YoaI/pKT25-EnvZ,5,1450
pUT18C-YoaI/pKT25-EnvZ,6,1262
pUT18C-YoaI/pKT25-EnvZ,7,1262
pUT18C-YoaI/pKT25-EnvZ,8,1485
