hour,protein,strain,OD
0,PmrR,pStop,0.1
0,PmrR,pStop,0.099
0,PmrR,pStop,0.097
0,PmrR,pStop,0.099
0,PmrR,pSmall,0.098
0,PmrR,pSmall,0.097
0,PmrR,pSmall,0.099
0,PmrR,pSmall,0.096
0,MgtS,pStop,0.1
0,MgtS,pStop,0.098
0,MgtS,pStop,0.097
0,MgtS,pStop,0.097
0,MgtS,pSmall,0.098
0,MgtS,pSmall,0.095
0,MgtS,pSmall,0.099
0,MgtS,pSmall,0.1
0,YoaI,pStop,0.097
0,YoaI,pStop,0.097
0,YoaI,pStop,0.098
0,YoaI,pStop,0.098
0,YoaI,pSmall,0.1
0,YoaI,pSmall,0.101
0,YoaI,pSmall,0.1
0,YoaI,pSmall,0.097
0,YmiA,pStop,0.098
0,YmiA,pStop,0.098
0,YmiA,pStop,0.099
0,YmiA,pStop,0.099
0,YmiA,pSmall,0.105
0,YmiA,pSmall,0.101
0,YmiA,pSmall,0.099
0,YmiA,pSmall,0.098
0,YkgS,pStop,0.097
0,YkgS,pStop,0.096
0,YkgS,pStop,0.099
0,YkgS,pStop,0.098
0,YkgS,pSmall,0.1
0,YkgS,pSmall,0.098
0,YkgS,pSmall,0.097
0,YkgS,pSmall,0.096
1,PmrR,pStop,0.112
1,PmrR,pStop,0.112
1,PmrR,pStop,0.108
1,PmrR,pStop,0.11
1,PmrR,pSmall,0.1
1,PmrR,pSmall,0.1
1,PmrR,pSmall,0.1
1,PmrR,pSmall,0.097
1,MgtS,pStop,0.11
1,MgtS,pStop,0.109
1,MgtS,pStop,0.11
1,MgtS,pStop,0.111
1,MgtS,pSmall,0.1
1,MgtS,pSmall,0.096
1,MgtS,pSmall,0.1
1,MgtS,pSmall,0.102
1,YoaI,pStop,0.106
1,YoaI,pStop,0.106
1,YoaI,pStop,0.108
1,YoaI,pStop,0.108
1,YoaI,pSmall,0.1
1,YoaI,pSmall,0.1
1,YoaI,pSmall,0.1
1,YoaI,pSmall,0.097
1,YmiA,pStop,0.112
1,YmiA,pStop,0.112
1,YmiA,pStop,0.112
1,YmiA,pStop,0.111
1,YmiA,pSmall,0.11
1,YmiA,pSmall,0.107
1,YmiA,pSmall,0.106
1,YmiA,pSmall,0.106
1,YkgS,pStop,0.109
1,YkgS,pStop,0.107
1,YkgS,pStop,0.111
1,YkgS,pStop,0.111
1,YkgS,pSmall,0.103
1,YkgS,pSmall,0.102
1,YkgS,pSmall,0.105
1,YkgS,pSmall,0.101
2,PmrR,pStop,0.132
2,PmrR,pStop,0.132
2,PmrR,pStop,0.13
2,PmrR,pStop,0.134
2,PmrR,pSmall,0.101
2,PmrR,pSmall,0.097
2,PmrR,pSmall,0.1
2,PmrR,pSmall,0.097
2,MgtS,pStop,0.13
2,MgtS,pStop,0.131
2,MgtS,pStop,0.133
2,MgtS,pStop,0.138
2,MgtS,pSmall,0.1
2,MgtS,pSmall,0.096
2,MgtS,pSmall,0.1
2,MgtS,pSmall,0.101
2,YoaI,pStop,0.127
2,YoaI,pStop,0.128
2,YoaI,pStop,0.129
2,YoaI,pStop,0.132
2,YoaI,pSmall,0.1
2,YoaI,pSmall,0.098
2,YoaI,pSmall,0.099
2,YoaI,pSmall,0.096
2,YmiA,pStop,0.129
2,YmiA,pStop,0.129
2,YmiA,pStop,0.132
2,YmiA,pStop,0.136
2,YmiA,pSmall,0.112
2,YmiA,pSmall,0.109
2,YmiA,pSmall,0.107
2,YmiA,pSmall,0.108
2,YkgS,pStop,0.135
2,YkgS,pStop,0.132
2,YkgS,pStop,0.131
2,YkgS,pStop,0.134
2,YkgS,pSmall,0.111
2,YkgS,pSmall,0.11
2,YkgS,pSmall,0.112
2,YkgS,pSmall,0.111
3,PmrR,pStop,0.16
3,PmrR,pStop,0.162
3,PmrR,pStop,0.147
3,PmrR,pStop,0.152
3,PmrR,pSmall,0.103
3,PmrR,pSmall,0.098
3,PmrR,pSmall,0.099
3,PmrR,pSmall,0.097
3,MgtS,pStop,0.151
3,MgtS,pStop,0.152
3,MgtS,pStop,0.165
3,MgtS,pStop,0.171
3,MgtS,pSmall,0.101
3,MgtS,pSmall,0.096
3,MgtS,pSmall,0.099
3,MgtS,pSmall,0.101
3,YoaI,pStop,0.142
3,YoaI,pStop,0.143
3,YoaI,pStop,0.145
3,YoaI,pStop,0.147
3,YoaI,pSmall,0.099
3,YoaI,pSmall,0.099
3,YoaI,pSmall,0.099
3,YoaI,pSmall,0.097
3,YmiA,pStop,0.159
3,YmiA,pStop,0.159
3,YmiA,pStop,0.157
3,YmiA,pStop,0.16
3,YmiA,pSmall,0.111
3,YmiA,pSmall,0.109
3,YmiA,pSmall,0.112
3,YmiA,pSmall,0.113
3,YkgS,pStop,0.156
3,YkgS,pStop,0.153
3,YkgS,pStop,0.149
3,YkgS,pStop,0.149
3,YkgS,pSmall,0.12
3,YkgS,pSmall,0.12
3,YkgS,pSmall,0.122
3,YkgS,pSmall,0.121
4,PmrR,pStop,0.234
4,PmrR,pStop,0.241
4,PmrR,pStop,0.213
4,PmrR,pStop,0.223
4,PmrR,pSmall,0.102
4,PmrR,pSmall,0.098
4,PmrR,pSmall,0.099
4,PmrR,pSmall,0.099
4,MgtS,pStop,0.235
4,MgtS,pStop,0.242
4,MgtS,pStop,0.258
4,MgtS,pStop,0.285
4,MgtS,pSmall,0.1
4,MgtS,pSmall,0.097
4,MgtS,pSmall,0.098
4,MgtS,pSmall,0.101
4,YoaI,pStop,0.206
4,YoaI,pStop,0.213
4,YoaI,pStop,0.212
4,YoaI,pStop,0.222
4,YoaI,pSmall,0.098
4,YoaI,pSmall,0.099
4,YoaI,pSmall,0.097
4,YoaI,pSmall,0.096
4,YmiA,pStop,0.276
4,YmiA,pStop,0.279
4,YmiA,pStop,0.262
4,YmiA,pStop,0.267
4,YmiA,pSmall,0.111
4,YmiA,pSmall,0.108
4,YmiA,pSmall,0.115
4,YmiA,pSmall,0.118
4,YkgS,pStop,0.225
4,YkgS,pStop,0.22
4,YkgS,pStop,0.224
4,YkgS,pStop,0.228
4,YkgS,pSmall,0.13
4,YkgS,pSmall,0.13
4,YkgS,pSmall,0.137
4,YkgS,pSmall,0.146
5,PmrR,pStop,0.388
5,PmrR,pStop,0.389
5,PmrR,pStop,0.361
5,PmrR,pStop,0.368
5,PmrR,pSmall,0.1
5,PmrR,pSmall,0.098
5,PmrR,pSmall,0.1
5,PmrR,pSmall,0.097
5,MgtS,pStop,0.4
5,MgtS,pStop,0.398
5,MgtS,pStop,0.407
5,MgtS,pStop,0.408
5,MgtS,pSmall,0.101
5,MgtS,pSmall,0.096
5,MgtS,pSmall,0.098
5,MgtS,pSmall,0.1
5,YoaI,pStop,0.36
5,YoaI,pStop,0.367
5,YoaI,pStop,0.357
5,YoaI,pStop,0.356
5,YoaI,pSmall,0.099
5,YoaI,pSmall,0.098
5,YoaI,pSmall,0.097
5,YoaI,pSmall,0.096
5,YmiA,pStop,0.417
5,YmiA,pStop,0.417
5,YmiA,pStop,0.407
5,YmiA,pStop,0.408
5,YmiA,pSmall,0.11
5,YmiA,pSmall,0.105
5,YmiA,pSmall,0.111
5,YmiA,pSmall,0.117
5,YkgS,pStop,0.384
5,YkgS,pStop,0.375
5,YkgS,pStop,0.372
5,YkgS,pStop,0.371
5,YkgS,pSmall,0.144
5,YkgS,pSmall,0.144
5,YkgS,pSmall,0.156
5,YkgS,pSmall,0.169
6,PmrR,pStop,0.548
6,PmrR,pStop,0.557
6,PmrR,pStop,0.557
6,PmrR,pStop,0.564
6,PmrR,pSmall,0.1
6,PmrR,pSmall,0.097
6,PmrR,pSmall,0.099
6,PmrR,pSmall,0.097
6,MgtS,pStop,0.606
6,MgtS,pStop,0.603
6,MgtS,pStop,0.629
6,MgtS,pStop,0.631
6,MgtS,pSmall,0.1
6,MgtS,pSmall,0.097
6,MgtS,pSmall,0.099
6,MgtS,pSmall,0.1
6,YoaI,pStop,0.553
6,YoaI,pStop,0.568
6,YoaI,pStop,0.565
6,YoaI,pStop,0.563
6,YoaI,pSmall,0.099
6,YoaI,pSmall,0.097
6,YoaI,pSmall,0.097
6,YoaI,pSmall,0.096
6,YmiA,pStop,0.643
6,YmiA,pStop,0.642
6,YmiA,pStop,0.655
6,YmiA,pStop,0.709
6,YmiA,pSmall,0.109
6,YmiA,pSmall,0.106
6,YmiA,pSmall,0.112
6,YmiA,pSmall,0.121
6,YkgS,pStop,0.574
6,YkgS,pStop,0.573
6,YkgS,pStop,0.585
6,YkgS,pStop,0.58
6,YkgS,pSmall,0.153
6,YkgS,pSmall,0.153
6,YkgS,pSmall,0.171
6,YkgS,pSmall,0.184
7,PmrR,pStop,0.603
7,PmrR,pStop,0.612
7,PmrR,pStop,0.614
7,PmrR,pStop,0.644
7,PmrR,pSmall,0.1
7,PmrR,pSmall,0.097
7,PmrR,pSmall,0.098
7,PmrR,pSmall,0.097
7,MgtS,pStop,0.695
7,MgtS,pStop,0.691
7,MgtS,pStop,0.714
7,MgtS,pStop,0.73
7,MgtS,pSmall,0.1
7,MgtS,pSmall,0.097
7,MgtS,pSmall,0.098
7,MgtS,pSmall,0.099
7,YoaI,pStop,0.652
7,YoaI,pStop,0.659
7,YoaI,pStop,0.671
7,YoaI,pStop,0.691
7,YoaI,pSmall,0.098
7,YoaI,pSmall,0.1
7,YoaI,pSmall,0.096
7,YoaI,pSmall,0.096
7,YmiA,pStop,0.736
7,YmiA,pStop,0.745
7,YmiA,pStop,0.771
7,YmiA,pStop,0.816
7,YmiA,pSmall,0.108
7,YmiA,pSmall,0.106
7,YmiA,pSmall,0.111
7,YmiA,pSmall,0.12
7,YkgS,pStop,0.698
7,YkgS,pStop,0.702
7,YkgS,pStop,0.723
7,YkgS,pStop,0.737
7,YkgS,pSmall,0.164
7,YkgS,pSmall,0.167
7,YkgS,pSmall,0.179
7,YkgS,pSmall,0.191
8,PmrR,pStop,0.628
8,PmrR,pStop,0.634
8,PmrR,pStop,0.637
8,PmrR,pStop,0.693
8,PmrR,pSmall,0.101
8,PmrR,pSmall,0.097
8,PmrR,pSmall,0.099
8,PmrR,pSmall,0.098
8,MgtS,pStop,0.68
8,MgtS,pStop,0.681
8,MgtS,pStop,0.698
8,MgtS,pStop,0.716
8,MgtS,pSmall,0.1
8,MgtS,pSmall,0.097
8,MgtS,pSmall,0.098
8,MgtS,pSmall,0.099
8,YoaI,pStop,0.674
8,YoaI,pStop,0.67
8,YoaI,pStop,0.704
8,YoaI,pStop,0.749
8,YoaI,pSmall,0.098
8,YoaI,pSmall,0.098
8,YoaI,pSmall,0.095
8,YoaI,pSmall,0.095
8,YmiA,pStop,0.705
8,YmiA,pStop,0.709
8,YmiA,pStop,0.725
8,YmiA,pStop,0.765
8,YmiA,pSmall,0.109
8,YmiA,pSmall,0.106
8,YmiA,pSmall,0.112
8,YmiA,pSmall,0.117
8,YkgS,pStop,0.709
8,YkgS,pStop,0.703
8,YkgS,pStop,0.74
8,YkgS,pStop,0.803
8,YkgS,pSmall,0.177
8,YkgS,pSmall,0.182
8,YkgS,pSmall,0.185
8,YkgS,pSmall,0.208
9,PmrR,pStop,0.646
9,PmrR,pStop,0.65
9,PmrR,pStop,0.656
9,PmrR,pStop,0.71
9,PmrR,pSmall,0.102
9,PmrR,pSmall,0.098
9,PmrR,pSmall,0.1
9,PmrR,pSmall,0.099
9,MgtS,pStop,0.685
9,MgtS,pStop,0.679
9,MgtS,pStop,0.703
9,MgtS,pStop,0.718
9,MgtS,pSmall,0.1
9,MgtS,pSmall,0.097
9,MgtS,pSmall,0.098
9,MgtS,pSmall,0.099
9,YoaI,pStop,0.676
9,YoaI,pStop,0.677
9,YoaI,pStop,0.7
9,YoaI,pStop,0.761
9,YoaI,pSmall,0.098
9,YoaI,pSmall,0.097
9,YoaI,pSmall,0.096
9,YoaI,pSmall,0.095
9,YmiA,pStop,0.714
9,YmiA,pStop,0.711
9,YmiA,pStop,0.726
9,YmiA,pStop,0.76
9,YmiA,pSmall,0.11
9,YmiA,pSmall,0.106
9,YmiA,pSmall,0.11
9,YmiA,pSmall,0.117
9,YkgS,pStop,0.698
9,YkgS,pStop,0.693
9,YkgS,pStop,0.716
9,YkgS,pStop,0.784
9,YkgS,pSmall,0.199
9,YkgS,pSmall,0.206
9,YkgS,pSmall,0.191
9,YkgS,pSmall,0.209
10,PmrR,pStop,0.664
10,PmrR,pStop,0.669
10,PmrR,pStop,0.674
10,PmrR,pStop,0.728
10,PmrR,pSmall,0.104
10,PmrR,pSmall,0.098
10,PmrR,pSmall,0.101
10,PmrR,pSmall,0.103
10,MgtS,pStop,0.701
10,MgtS,pStop,0.695
10,MgtS,pStop,0.722
10,MgtS,pStop,0.737
10,MgtS,pSmall,0.099
10,MgtS,pSmall,0.096
10,MgtS,pSmall,0.099
10,MgtS,pSmall,0.099
10,YoaI,pStop,0.698
10,YoaI,pStop,0.69
10,YoaI,pStop,0.722
10,YoaI,pStop,0.77
10,YoaI,pSmall,0.097
10,YoaI,pSmall,0.099
10,YoaI,pSmall,0.098
10,YoaI,pSmall,0.097
10,YmiA,pStop,0.728
10,YmiA,pStop,0.73
10,YmiA,pStop,0.742
10,YmiA,pStop,0.797
10,YmiA,pSmall,0.11
10,YmiA,pSmall,0.106
10,YmiA,pSmall,0.11
10,YmiA,pSmall,0.12
10,YkgS,pStop,0.718
10,YkgS,pStop,0.712
10,YkgS,pStop,0.728
10,YkgS,pStop,0.789
10,YkgS,pSmall,0.233
10,YkgS,pSmall,0.239
10,YkgS,pSmall,0.197
10,YkgS,pSmall,0.209
11,PmrR,pStop,0.678
11,PmrR,pStop,0.682
11,PmrR,pStop,0.685
11,PmrR,pStop,0.742
11,PmrR,pSmall,0.11
11,PmrR,pSmall,0.099
11,PmrR,pSmall,0.108
11,PmrR,pSmall,0.116
11,MgtS,pStop,0.708
11,MgtS,pStop,0.705
11,MgtS,pStop,0.731
11,MgtS,pStop,0.758
11,MgtS,pSmall,0.1
11,MgtS,pSmall,0.096
11,MgtS,pSmall,0.103
11,MgtS,pSmall,0.1
11,YoaI,pStop,0.707
11,YoaI,pStop,0.701
11,YoaI,pStop,0.736
11,YoaI,pStop,0.779
11,YoaI,pSmall,0.098
11,YoaI,pSmall,0.1
11,YoaI,pSmall,0.106
11,YoaI,pSmall,0.104
11,YmiA,pStop,0.736
11,YmiA,pStop,0.735
11,YmiA,pStop,0.751
11,YmiA,pStop,0.812
11,YmiA,pSmall,0.111
11,YmiA,pSmall,0.106
11,YmiA,pSmall,0.108
11,YmiA,pSmall,0.126
11,YkgS,pStop,0.726
11,YkgS,pStop,0.725
11,YkgS,pStop,0.735
11,YkgS,pStop,0.804
11,YkgS,pSmall,0.279
11,YkgS,pSmall,0.281
11,YkgS,pSmall,0.205
11,YkgS,pSmall,0.205
12,PmrR,pStop,0.692
12,PmrR,pStop,0.696
12,PmrR,pStop,0.697
12,PmrR,pStop,0.752
12,PmrR,pSmall,0.12
12,PmrR,pSmall,0.103
12,PmrR,pSmall,0.127
12,PmrR,pSmall,0.148
12,MgtS,pStop,0.714
12,MgtS,pStop,0.71
12,MgtS,pStop,0.739
12,MgtS,pStop,0.767
12,MgtS,pSmall,0.1
12,MgtS,pSmall,0.096
12,MgtS,pSmall,0.116
12,MgtS,pSmall,0.106
12,YoaI,pStop,0.72
12,YoaI,pStop,0.712
12,YoaI,pStop,0.75
12,YoaI,pStop,0.793
12,YoaI,pSmall,0.098
12,YoaI,pSmall,0.1
12,YoaI,pSmall,0.121
12,YoaI,pSmall,0.122
12,YmiA,pStop,0.738
12,YmiA,pStop,0.738
12,YmiA,pStop,0.755
12,YmiA,pStop,0.821
12,YmiA,pSmall,0.115
12,YmiA,pSmall,0.106
12,YmiA,pSmall,0.108
12,YmiA,pSmall,0.135
12,YkgS,pStop,0.734
12,YkgS,pStop,0.733
12,YkgS,pStop,0.743
12,YkgS,pStop,0.823
12,YkgS,pSmall,0.349
12,YkgS,pSmall,0.351
12,YkgS,pSmall,0.209
12,YkgS,pSmall,0.214
13,PmrR,pStop,0.71
13,PmrR,pStop,0.708
13,PmrR,pStop,0.715
13,PmrR,pStop,0.768
13,PmrR,pSmall,0.144
13,PmrR,pSmall,0.111
13,PmrR,pSmall,0.163
13,PmrR,pSmall,0.197
13,MgtS,pStop,0.723
13,MgtS,pStop,0.719
13,MgtS,pStop,0.746
13,MgtS,pStop,0.773
13,MgtS,pSmall,0.1
13,MgtS,pSmall,0.095
13,MgtS,pSmall,0.133
13,MgtS,pSmall,0.124
13,YoaI,pStop,0.736
13,YoaI,pStop,0.728
13,YoaI,pStop,0.765
13,YoaI,pStop,0.81
13,YoaI,pSmall,0.097
13,YoaI,pSmall,0.102
13,YoaI,pSmall,0.144
13,YoaI,pSmall,0.169
13,YmiA,pStop,0.738
13,YmiA,pStop,0.742
13,YmiA,pStop,0.761
13,YmiA,pStop,0.837
13,YmiA,pSmall,0.128
13,YmiA,pSmall,0.106
13,YmiA,pSmall,0.109
13,YmiA,pSmall,0.171
13,YkgS,pStop,0.746
13,YkgS,pStop,0.747
13,YkgS,pStop,0.755
13,YkgS,pStop,0.84
13,YkgS,pSmall,0.436
13,YkgS,pSmall,0.444
13,YkgS,pSmall,0.225
13,YkgS,pSmall,0.243
14,PmrR,pStop,0.721
14,PmrR,pStop,0.722
14,PmrR,pStop,0.729
14,PmrR,pStop,0.789
14,PmrR,pSmall,0.177
14,PmrR,pSmall,0.129
14,PmrR,pSmall,0.246
14,PmrR,pSmall,0.291
14,MgtS,pStop,0.724
14,MgtS,pStop,0.721
14,MgtS,pStop,0.747
14,MgtS,pStop,0.784
14,MgtS,pSmall,0.1
14,MgtS,pSmall,0.096
14,MgtS,pSmall,0.193
14,MgtS,pSmall,0.152
14,YoaI,pStop,0.746
14,YoaI,pStop,0.738
14,YoaI,pStop,0.774
14,YoaI,pStop,0.82
14,YoaI,pSmall,0.098
14,YoaI,pSmall,0.11
14,YoaI,pSmall,0.209
14,YoaI,pSmall,0.207
14,YmiA,pStop,0.739
14,YmiA,pStop,0.742
14,YmiA,pStop,0.765
14,YmiA,pStop,0.858
14,YmiA,pSmall,0.158
14,YmiA,pSmall,0.12
14,YmiA,pSmall,0.112
14,YmiA,pSmall,0.283
14,YkgS,pStop,0.751
14,YkgS,pStop,0.752
14,YkgS,pStop,0.765
14,YkgS,pStop,0.863
14,YkgS,pSmall,0.58
14,YkgS,pSmall,0.524
14,YkgS,pSmall,0.25
14,YkgS,pSmall,0.266
15,PmrR,pStop,0.73
15,PmrR,pStop,0.731
15,PmrR,pStop,0.742
15,PmrR,pStop,0.814
15,PmrR,pSmall,0.261
15,PmrR,pSmall,0.172
15,PmrR,pSmall,0.376
15,PmrR,pSmall,0.37
15,MgtS,pStop,0.727
15,MgtS,pStop,0.725
15,MgtS,pStop,0.748
15,MgtS,pStop,0.795
15,MgtS,pSmall,0.191
15,MgtS,pSmall,0.195
15,MgtS,pSmall,0.318
15,MgtS,pSmall,0.256
15,YoaI,pStop,0.747
15,YoaI,pStop,0.74
15,YoaI,pStop,0.778
15,YoaI,pStop,0.838
15,YoaI,pSmall,0.197
15,YoaI,pSmall,0.127
15,YoaI,pSmall,0.339
15,YoaI,pSmall,0.286
15,YmiA,pStop,0.736
15,YmiA,pStop,0.741
15,YmiA,pStop,0.765
15,YmiA,pStop,0.867
15,YmiA,pSmall,0.22
15,YmiA,pSmall,0.18
15,YmiA,pSmall,0.121
15,YmiA,pSmall,0.393
15,YkgS,pStop,0.753
15,YkgS,pStop,0.755
15,YkgS,pStop,0.766
15,YkgS,pStop,0.898
15,YkgS,pSmall,0.684
15,YkgS,pSmall,0.63
15,YkgS,pSmall,0.295
15,YkgS,pSmall,0.339
16,PmrR,pStop,0.732
16,PmrR,pStop,0.735
16,PmrR,pStop,0.744
16,PmrR,pStop,0.828
16,PmrR,pSmall,0.347
16,PmrR,pSmall,0.245
16,PmrR,pSmall,0.477
16,PmrR,pSmall,0.475
16,MgtS,pStop,0.723
16,MgtS,pStop,0.724
16,MgtS,pStop,0.745
16,MgtS,pStop,0.811
16,MgtS,pSmall,0.201
16,MgtS,pSmall,0.23
16,MgtS,pSmall,0.473
16,MgtS,pSmall,0.367
16,YoaI,pStop,0.745
16,YoaI,pStop,0.738
16,YoaI,pStop,0.781
16,YoaI,pStop,0.856
16,YoaI,pSmall,0.297
16,YoaI,pSmall,0.247
16,YoaI,pSmall,0.512
16,YoaI,pSmall,0.414
16,YmiA,pStop,0.731
16,YmiA,pStop,0.741
16,YmiA,pStop,0.766
16,YmiA,pStop,0.866
16,YmiA,pSmall,0.303
16,YmiA,pSmall,0.2
16,YmiA,pSmall,0.14
16,YmiA,pSmall,0.577
16,YkgS,pStop,0.748
16,YkgS,pStop,0.753
16,YkgS,pStop,0.763
16,YkgS,pStop,0.894
16,YkgS,pSmall,0.688
16,YkgS,pSmall,0.686
16,YkgS,pSmall,0.378
16,YkgS,pSmall,0.463
17,PmrR,pStop,0.738
17,PmrR,pStop,0.741
17,PmrR,pStop,0.75
17,PmrR,pStop,0.836
17,PmrR,pSmall,0.439
17,PmrR,pSmall,0.348
17,PmrR,pSmall,0.655
17,PmrR,pSmall,0.625
17,MgtS,pStop,0.723
17,MgtS,pStop,0.723
17,MgtS,pStop,0.75
17,MgtS,pStop,0.814
17,MgtS,pSmall,0.251
17,MgtS,pSmall,0.395
17,MgtS,pSmall,0.578
17,MgtS,pSmall,0.513
17,YoaI,pStop,0.751
17,YoaI,pStop,0.743
17,YoaI,pStop,0.783
17,YoaI,pStop,0.877
17,YoaI,pSmall,0.397
17,YoaI,pSmall,0.359
17,YoaI,pSmall,0.658
17,YoaI,pSmall,0.54
17,YmiA,pStop,0.731
17,YmiA,pStop,0.739
17,YmiA,pStop,0.769
17,YmiA,pStop,0.858
17,YmiA,pSmall,0.387
17,YmiA,pSmall,0.309
17,YmiA,pSmall,0.192
17,YmiA,pSmall,0.917
17,YkgS,pStop,0.751
17,YkgS,pStop,0.752
17,YkgS,pStop,0.767
17,YkgS,pStop,0.907
17,YkgS,pSmall,0.701
17,YkgS,pSmall,0.731
17,YkgS,pSmall,0.491
17,YkgS,pSmall,0.544
18,PmrR,pStop,0.744
18,PmrR,pStop,0.746
18,PmrR,pStop,0.761
18,PmrR,pStop,0.84
18,PmrR,pSmall,0.657
18,PmrR,pSmall,0.412
18,PmrR,pSmall,0.771
18,PmrR,pSmall,0.784
18,MgtS,pStop,0.724
18,MgtS,pStop,0.725
18,MgtS,pStop,0.736
18,MgtS,pStop,0.8
18,MgtS,pSmall,0.399
18,MgtS,pSmall,0.405
18,MgtS,pSmall,0.699
18,MgtS,pSmall,0.625
18,YoaI,pStop,0.75
18,YoaI,pStop,0.743
18,YoaI,pStop,0.787
18,YoaI,pStop,0.876
18,YoaI,pSmall,0.497
18,YoaI,pSmall,0.48
18,YoaI,pSmall,0.739
18,YoaI,pSmall,0.622
18,YmiA,pStop,0.728
18,YmiA,pStop,0.733
18,YmiA,pStop,0.759
18,YmiA,pStop,0.865
18,YmiA,pSmall,0.689
18,YmiA,pSmall,0.509
18,YmiA,pSmall,0.307
18,YmiA,pSmall,1.011
18,YkgS,pStop,0.75
18,YkgS,pStop,0.757
18,YkgS,pStop,0.777
18,YkgS,pStop,0.913
18,YkgS,pSmall,0.713
18,YkgS,pSmall,0.743
18,YkgS,pSmall,0.585
18,YkgS,pSmall,0.601
19,PmrR,pStop,0.75
19,PmrR,pStop,0.749
19,PmrR,pStop,0.773
19,PmrR,pStop,0.852
