hour,protein,strain,OD
10,DinQ,pStop,0.765
10,DinQ,pStop,0.748
10,DinQ,pStop,0.754
10,DinQ,pStop,0.774
10,DinQ,pStop,0.78
10,DinQ,pStop,0.785
10,DinQ,pStop,0.721
10,DinQ,pStop,0.733
11,DinQ,pEmpty,0.751
11,DinQ,pEmpty,0.847
11,DinQ,pEmpty,0.834
11,DinQ,pEmpty,0.834
11,DinQ,pEmpty,0.835
11,DinQ,pEmpty,0.846
11,DinQ,pEmpty,0.807
11,DinQ,pEmpty,0.782
11,DinQ,pSmall,0.725
11,DinQ,pSmall,0.72
11,DinQ,pSmall,0.551
11,DinQ,pSmall,0.545
11,DinQ,pSmall,0.747
11,DinQ,pSmall,0.753
11,DinQ,pSmall,0.466
11,DinQ,pSmall,0.473
11,DinQ,pStop,0.774
11,DinQ,pStop,0.743
11,DinQ,pStop,0.738
11,DinQ,pStop,0.767
11,DinQ,pStop,0.779
11,DinQ,pStop,0.79
11,DinQ,pStop,0.715
11,DinQ,pStop,0.739
12,DinQ,pEmpty,0.744
12,DinQ,pEmpty,0.836
12,DinQ,pEmpty,0.824
12,DinQ,pEmpty,0.831
12,DinQ,pEmpty,0.826
12,DinQ,pEmpty,0.84
12,DinQ,pEmpty,0.804
12,DinQ,pEmpty,0.777
12,DinQ,pSmall,0.755
12,DinQ,pSmall,0.765
12,DinQ,pSmall,0.615
12,DinQ,pSmall,0.606
12,DinQ,pSmall,0.798
12,DinQ,pSmall,0.797
12,DinQ,pSmall,0.546
12,DinQ,pSmall,0.566
12,DinQ,pStop,0.772
12,DinQ,pStop,0.748
12,DinQ,pStop,0.735
12,DinQ,pStop,0.76
12,DinQ,pStop,0.781
12,DinQ,pStop,0.8
12,DinQ,pStop,0.715
12,DinQ,pStop,0.737
13,DinQ,pEmpty,0.727
13,DinQ,pEmpty,0.837
13,DinQ,pEmpty,0.816
13,DinQ,pEmpty,0.824
13,DinQ,pEmpty,0.823
13,DinQ,pEmpty,0.834
13,DinQ,pEmpty,0.814
13,DinQ,pEmpty,0.775
13,DinQ,pSmall,0.735
13,DinQ,pSmall,0.755
13,DinQ,pSmall,0.668
13,DinQ,pSmall,0.651
13,DinQ,pSmall,0.6
13,DinQ,pSmall,0.65
13,DinQ,pSmall,0.596
13,DinQ,pSmall,0.627
13,DinQ,pStop,0.753
13,DinQ,pStop,0.748
13,DinQ,pStop,0.729
13,DinQ,pStop,0.753
13,DinQ,pStop,0.781
13,DinQ,pStop,0.813
13,DinQ,pStop,0.719
13,DinQ,pStop,0.738
14,DinQ,pEmpty,0.726
14,DinQ,pEmpty,0.838
14,DinQ,pEmpty,0.812
14,DinQ,pEmpty,0.814
14,DinQ,pEmpty,0.819
14,DinQ,pEmpty,0.835
14,DinQ,pEmpty,0.813
14,DinQ,pEmpty,0.771
14,DinQ,pSmall,0.728
14,DinQ,pSmall,0.725
14,DinQ,pSmall,0.66
14,DinQ,pSmall,0.65
14,DinQ,pSmall,0.61
14,DinQ,pSmall,0.611
14,DinQ,pSmall,0.63
14,DinQ,pSmall,0.666
14,DinQ,pStop,0.753
14,DinQ,pStop,0.758
14,DinQ,pStop,0.725
14,DinQ,pStop,0.758
14,DinQ,pStop,0.787
14,DinQ,pStop,0.81
14,DinQ,pStop,0.718
14,DinQ,pStop,0.734
15,DinQ,pEmpty,0.729
15,DinQ,pEmpty,0.83
15,DinQ,pEmpty,0.809
15,DinQ,pEmpty,0.814
15,DinQ,pEmpty,0.818
15,DinQ,pEmpty,0.836
15,DinQ,pEmpty,0.818
15,DinQ,pEmpty,0.768
15,DinQ,pSmall,0.69
15,DinQ,pSmall,0.7
15,DinQ,pSmall,0.66
15,DinQ,pSmall,0.669
15,DinQ,pSmall,0.62
15,DinQ,pSmall,0.612
15,DinQ,pSmall,0.65
15,DinQ,pSmall,0.68
15,DinQ,pStop,0.751
15,DinQ,pStop,0.741
15,DinQ,pStop,0.72
15,DinQ,pStop,0.751
15,DinQ,pStop,0.784
15,DinQ,pStop,0.818
15,DinQ,pStop,0.718
15,DinQ,pStop,0.733
16,DinQ,pEmpty,0.727
16,DinQ,pEmpty,0.824
16,DinQ,pEmpty,0.798
16,DinQ,pEmpty,0.8
16,DinQ,pEmpty,0.817
16,DinQ,pEmpty,0.831
16,DinQ,pEmpty,0.825
16,DinQ,pEmpty,0.771
16,DinQ,pSmall,0.667
16,DinQ,pSmall,0.67
16,DinQ,pSmall,0.62
16,DinQ,pSmall,0.63
16,DinQ,pSmall,0.66
16,DinQ,pSmall,0.68
16,DinQ,pSmall,0.659
16,DinQ,pSmall,0.69
16,DinQ,pStop,0.747
16,DinQ,pStop,0.741
16,DinQ,pStop,0.719
16,DinQ,pStop,0.764
16,DinQ,pStop,0.783
16,DinQ,pStop,0.814
16,DinQ,pStop,0.72
16,DinQ,pStop,0.734
17,DinQ,pEmpty,0.735
17,DinQ,pEmpty,0.828
17,DinQ,pEmpty,0.791
17,DinQ,pEmpty,0.792
17,DinQ,pEmpty,0.815
17,DinQ,pEmpty,0.83
17,DinQ,pEmpty,0.832
17,DinQ,pEmpty,0.792
17,DinQ,pSmall,0.66
17,DinQ,pSmall,0.67
17,DinQ,pSmall,0.63
17,DinQ,pSmall,0.64
17,DinQ,pSmall,0.66
17,DinQ,pSmall,0.69
17,DinQ,pSmall,0.665
17,DinQ,pSmall,0.7
17,DinQ,pStop,0.748
17,DinQ,pStop,0.736
17,DinQ,pStop,0.718
17,DinQ,pStop,0.757
17,DinQ,pStop,0.779
17,DinQ,pStop,0.808
17,DinQ,pStop,0.718
17,DinQ,pStop,0.731
18,DinQ,pEmpty,0.747
18,DinQ,pEmpty,0.84
18,DinQ,pEmpty,0.794
18,DinQ,pEmpty,0.803
18,DinQ,pEmpty,0.813
18,DinQ,pEmpty,0.834
18,DinQ,pEmpty,0.832
18,DinQ,pEmpty,0.811
18,DinQ,pSmall,0.67
18,DinQ,pSmall,0.69
18,DinQ,pSmall,0.63
18,DinQ,pSmall,0.633
18,DinQ,pSmall,0.65
18,DinQ,pSmall,0.64
18,DinQ,pSmall,0.66
18,DinQ,pSmall,0.7
18,DinQ,pStop,0.737
18,DinQ,pStop,0.741
18,DinQ,pStop,0.724
18,DinQ,pStop,0.764
18,DinQ,pStop,0.784
18,DinQ,pStop,0.822
18,DinQ,pStop,0.722
18,DinQ,pStop,0.734
19,DinQ,pEmpty,0.757
19,DinQ,pEmpty,0.851
19,DinQ,pEmpty,0.806
19,DinQ,pEmpty,0.806
19,DinQ,pEmpty,0.816
19,DinQ,pEmpty,0.838
19,DinQ,pEmpty,0.833
19,DinQ,pEmpty,0.831
19,DinQ,pSmall,0.66
19,DinQ,pSmall,0.68
19,DinQ,pSmall,0.64
19,DinQ,pSmall,0.63
19,DinQ,pSmall,0.66
19,DinQ,pSmall,0.67
19,DinQ,pSmall,0.667
19,DinQ,pSmall,0.7
19,DinQ,pStop,0.752
19,DinQ,pStop,0.759
19,DinQ,pStop,0.724
19,DinQ,pStop,0.764
19,DinQ,pStop,0.798
19,DinQ,pStop,0.838
19,DinQ,pStop,0.737
19,DinQ,pStop,0.751
20,DinQ,pEmpty,0.765
20,DinQ,pEmpty,0.85
20,DinQ,pEmpty,0.81
20,DinQ,pEmpty,0.809
20,DinQ,pEmpty,0.821
20,DinQ,pEmpty,0.841
20,DinQ,pEmpty,0.833
20,DinQ,pEmpty,0.838
20,DinQ,pSmall,0.66
20,DinQ,pSmall,0.67
20,DinQ,pSmall,0.64
20,DinQ,pSmall,0.65
20,DinQ,pSmall,0.66
20,DinQ,pSmall,0.69
20,DinQ,pSmall,0.666
20,DinQ,pSmall,0.71
20,DinQ,pStop,0.762
20,DinQ,pStop,0.767
20,DinQ,pStop,0.726
20,DinQ,pStop,0.769
20,DinQ,pStop,0.802
20,DinQ,pStop,0.842
20,DinQ,pStop,0.762
20,DinQ,pStop,0.776
0,MgrB,pSmall,0.127
0,MgrB,pSmall,0.128
0,MgrB,pSmall,0.147
0,MgrB,pSmall,0.135
0,MgrB,pSmall,0.126
0,MgrB,pSmall,0.131
0,MgrB,pSmall,0.129
0,MgrB,pSmall,0.129
0,MgrB,pStop,0.137
0,MgrB,pStop,0.138
0,MgrB,pStop,0.137
0,MgrB,pStop,0.139
0,MgrB,pStop,0.137
0,MgrB,pStop,0.14
0,MgrB,pStop,0.136
0,MgrB,pStop,0.138
1,MgrB,pSmall,0.117
1,MgrB,pSmall,0.117
1,MgrB,pSmall,0.15
1,MgrB,pSmall,0.137
1,MgrB,pSmall,0.115
1,MgrB,pSmall,0.119
1,MgrB,pSmall,0.128
1,MgrB,pSmall,0.128
1,MgrB,pStop,0.182
1,MgrB,pStop,0.179
1,MgrB,pStop,0.18
1,MgrB,pStop,0.19
1,MgrB,pStop,0.181
1,MgrB,pStop,0.18
1,MgrB,pStop,0.181
1,MgrB,pStop,0.19
2,MgrB,pSmall,0.114
2,MgrB,pSmall,0.113
2,MgrB,pSmall,0.136
2,MgrB,pSmall,0.125
2,MgrB,pSmall,0.112
2,MgrB,pSmall,0.116
2,MgrB,pSmall,0.118
2,MgrB,pSmall,0.119
2,MgrB,pStop,0.253
2,MgrB,pStop,0.245
2,MgrB,pStop,0.24
2,MgrB,pStop,0.248
2,MgrB,pStop,0.253
2,MgrB,pStop,0.257
2,MgrB,pStop,0.259
2,MgrB,pStop,0.268
3,MgrB,pSmall,0.111
3,MgrB,pSmall,0.111
3,MgrB,pSmall,0.131
3,MgrB,pSmall,0.121
3,MgrB,pSmall,0.111
3,MgrB,pSmall,0.115
3,MgrB,pSmall,0.115
3,MgrB,pSmall,0.118
3,MgrB,pStop,0.321
3,MgrB,pStop,0.322
3,MgrB,pStop,0.326
3,MgrB,pStop,0.335
3,MgrB,pStop,0.316
3,MgrB,pStop,0.322
3,MgrB,pStop,0.325
3,MgrB,pStop,0.324
4,MgrB,pSmall,0.11
4,MgrB,pSmall,0.11
4,MgrB,pSmall,0.131
4,MgrB,pSmall,0.122
4,MgrB,pSmall,0.111
4,MgrB,pSmall,0.115
4,MgrB,pSmall,0.113
4,MgrB,pSmall,0.115
4,MgrB,pStop,0.404
4,MgrB,pStop,0.411
4,MgrB,pStop,0.404
4,MgrB,pStop,0.417
4,MgrB,pStop,0.41
4,MgrB,pStop,0.406
4,MgrB,pStop,0.424
4,MgrB,pStop,0.454
5,MgrB,pSmall,0.109
5,MgrB,pSmall,0.11
5,MgrB,pSmall,0.141
5,MgrB,pSmall,0.13
5,MgrB,pSmall,0.112
5,MgrB,pSmall,0.115
5,MgrB,pSmall,0.112
5,MgrB,pSmall,0.114
5,MgrB,pStop,0.51
5,MgrB,pStop,0.525
5,MgrB,pStop,0.537
5,MgrB,pStop,0.545
5,MgrB,pStop,0.513
5,MgrB,pStop,0.518
5,MgrB,pStop,0.546
5,MgrB,pStop,0.553
6,MgrB,pSmall,0.111
6,MgrB,pSmall,0.11
6,MgrB,pSmall,0.17
6,MgrB,pSmall,0.152
6,MgrB,pSmall,0.114
6,MgrB,pSmall,0.116
6,MgrB,pSmall,0.112
6,MgrB,pSmall,0.113
6,MgrB,pStop,0.52
6,MgrB,pStop,0.523
6,MgrB,pStop,0.534
6,MgrB,pStop,0.553
6,MgrB,pStop,0.526
6,MgrB,pStop,0.527
6,MgrB,pStop,0.549
6,MgrB,pStop,0.586
7,MgrB,pSmall,0.121
7,MgrB,pSmall,0.118
7,MgrB,pSmall,0.215
7,MgrB,pSmall,0.194
7,MgrB,pSmall,0.116
7,MgrB,pSmall,0.123
7,MgrB,pSmall,0.115
7,MgrB,pSmall,0.115
7,MgrB,pStop,0.551
7,MgrB,pStop,0.522
7,MgrB,pStop,0.548
7,MgrB,pStop,0.57
7,MgrB,pStop,0.542
7,MgrB,pStop,0.546
7,MgrB,pStop,0.553
7,MgrB,pStop,0.621
8,MgrB,pSmall,0.146
8,MgrB,pSmall,0.14
8,MgrB,pSmall,0.287
8,MgrB,pSmall,0.264
8,MgrB,pSmall,0.128
8,MgrB,pSmall,0.15
8,MgrB,pSmall,0.128
8,MgrB,pSmall,0.128
8,MgrB,pStop,0.568
8,MgrB,pStop,0.534
8,MgrB,pStop,0.551
8,MgrB,pStop,0.568
8,MgrB,pStop,0.553
8,MgrB,pStop,0.564
8,MgrB,pStop,0.567
8,MgrB,pStop,0.636
9,MgrB,pSmall,0.192
9,MgrB,pSmall,0.179
9,MgrB,pSmall,0.388
9,MgrB,pSmall,0.353
9,MgrB,pSmall,0.158
9,MgrB,pSmall,0.183
9,MgrB,pSmall,0.162
9,MgrB,pSmall,0.16
9,MgrB,pStop,0.555
9,MgrB,pStop,0.543
9,MgrB,pStop,0.562
9,MgrB,pStop,0.577
9,MgrB,pStop,0.57
9,MgrB,pStop,0.58
9,MgrB,pStop,0.578
9,MgrB,pStop,0.655
10,MgrB,pSmall,0.302
10,MgrB,pSmall,0.267
10,MgrB,pSmall,0.634
10,MgrB,pSmall,0.495
10,MgrB,pSmall,0.201
10,MgrB,pSmall,0.25
10,MgrB,pSmall,0.212
10,MgrB,pSmall,0.213
10,MgrB,pStop,0.534
10,MgrB,pStop,0.553
10,MgrB,pStop,0.57
10,MgrB,pStop,0.591
10,MgrB,pStop,0.581
10,MgrB,pStop,0.596
10,MgrB,pStop,0.591
10,MgrB,pStop,0.687
11,MgrB,pSmall,0.47
11,MgrB,pSmall,0.39
11,MgrB,pSmall,0.677
11,MgrB,pSmall,0.655
11,MgrB,pSmall,0.274
11,MgrB,pSmall,0.334
11,MgrB,pSmall,0.31
11,MgrB,pSmall,0.298
11,MgrB,pStop,0.507
11,MgrB,pStop,0.572
11,MgrB,pStop,0.578
11,MgrB,pStop,0.599
11,MgrB,pStop,0.589
11,MgrB,pStop,0.611
11,MgrB,pStop,0.611
11,MgrB,pStop,0.693
12,MgrB,pSmall,0.691
12,MgrB,pSmall,0.623
12,MgrB,pSmall,0.691
12,MgrB,pSmall,0.685
12,MgrB,pSmall,0.373
12,MgrB,pSmall,0.464
12,MgrB,pSmall,0.412
12,MgrB,pSmall,0.396
12,MgrB,pStop,0.491
12,MgrB,pStop,0.569
12,MgrB,pStop,0.594
12,MgrB,pStop,0.606
12,MgrB,pStop,0.603
12,MgrB,pStop,0.628
12,MgrB,pStop,0.624
12,MgrB,pStop,0.714
13,MgrB,pSmall,0.805
13,MgrB,pSmall,0.75
13,MgrB,pSmall,0.703
13,MgrB,pSmall,0.706
13,MgrB,pSmall,0.514
13,MgrB,pSmall,0.67
13,MgrB,pSmall,0.662
13,MgrB,pSmall,0.655
13,MgrB,pStop,0.484
13,MgrB,pStop,0.555
13,MgrB,pStop,0.607
13,MgrB,pStop,0.612
13,MgrB,pStop,0.613
13,MgrB,pStop,0.642
13,MgrB,pStop,0.635
13,MgrB,pStop,0.7
14,MgrB,pSmall,0.789
14,MgrB,pSmall,0.743
14,MgrB,pSmall,0.709
14,MgrB,pSmall,0.717
14,MgrB,pSmall,0.678
14,MgrB,pSmall,0.702
14,MgrB,pSmall,0.694
14,MgrB,pSmall,0.718
14,MgrB,pStop,0.478
14,MgrB,pStop,0.544
14,MgrB,pStop,0.597
14,MgrB,pStop,0.608
14,MgrB,pStop,0.606
14,MgrB,pStop,0.636
14,MgrB,pStop,0.619
14,MgrB,pStop,0.699
15,MgrB,pSmall,0.812
15,MgrB,pSmall,0.757
15,MgrB,pSmall,0.72
15,MgrB,pSmall,0.72
15,MgrB,pSmall,0.7
15,MgrB,pSmall,0.727
15,MgrB,pSmall,0.717
15,MgrB,pSmall,0.737
15,MgrB,pStop,0.472
15,MgrB,pStop,0.543
15,MgrB,pStop,0.601
15,MgrB,pStop,0.607
15,MgrB,pStop,0.61
15,MgrB,pStop,0.654
15,MgrB,pStop,0.628
15,MgrB,pStop,0.695
16,MgrB,pSmall,0.805
16,MgrB,pSmall,0.759
16,MgrB,pSmall,0.728
16,MgrB,pSmall,0.726
16,MgrB,pSmall,0.718
16,MgrB,pSmall,0.74
16,MgrB,pSmall,0.727
16,MgrB,pSmall,0.729
16,MgrB,pStop,0.478
16,MgrB,pStop,0.546
16,MgrB,pStop,0.613
16,MgrB,pStop,0.62
16,MgrB,pStop,0.623
16,MgrB,pStop,0.652
16,MgrB,pStop,0.634
16,MgrB,pStop,0.702
17,MgrB,pSmall,0.81
17,MgrB,pSmall,0.75
17,MgrB,pSmall,0.725
17,MgrB,pSmall,0.726
17,MgrB,pSmall,0.721
17,MgrB,pSmall,0.736
17,MgrB,pSmall,0.724
17,MgrB,pSmall,0.726
17,MgrB,pStop,0.479
17,MgrB,pStop,0.544
17,MgrB,pStop,0.601
17,MgrB,pStop,0.609
17,MgrB,pStop,0.615
17,MgrB,pStop,0.648
17,MgrB,pStop,0.621
17,MgrB,pStop,0.673
18,MgrB,pSmall,0.814
18,MgrB,pSmall,0.717
18,MgrB,pSmall,0.737
18,MgrB,pSmall,0.734
18,MgrB,pSmall,0.727
18,MgrB,pSmall,0.746
18,MgrB,pSmall,0.725
18,MgrB,pSmall,0.742
18,MgrB,pStop,0.477
18,MgrB,pStop,0.549
18,MgrB,pStop,0.615
18,MgrB,pStop,0.614
18,MgrB,pStop,0.628
18,MgrB,pStop,0.657
18,MgrB,pStop,0.636
18,MgrB,pStop,0.704
19,MgrB,pSmall,0.823
19,MgrB,pSmall,0.693
19,MgrB,pSmall,0.737
19,MgrB,pSmall,0.732
19,MgrB,pSmall,0.719
19,MgrB,pSmall,0.736
19,MgrB,pSmall,0.723
19,MgrB,pSmall,0.731
19,MgrB,pStop,0.476
19,MgrB,pStop,0.546
19,MgrB,pStop,0.604
19,MgrB,pStop,0.611
19,MgrB,pStop,0.619
19,MgrB,pStop,0.652
19,MgrB,pStop,0.618
19,MgrB,pStop,0.688
20,MgrB,pSmall,0.827
20,MgrB,pSmall,0.688
20,MgrB,pSmall,0.751
20,MgrB,pSmall,0.741
20,MgrB,pSmall,0.725
20,MgrB,pSmall,0.738
20,MgrB,pSmall,0.729
20,MgrB,pSmall,0.745
20,MgrB,pStop,0.485
20,MgrB,pStop,0.548
20,MgrB,pStop,0.607
20,MgrB,pStop,0.613
20,MgrB,pStop,0.621
20,MgrB,pStop,0.655
20,MgrB,pStop,0.62
20,MgrB,pStop,0.682
0,MgrB,pEmpty,0.136
0,MgrB,pEmpty,0.139
0,MgrB,pEmpty,0.138
0,MgrB,pEmpty,0.135
0,MgrB,pEmpty,0.137
0,MgrB,pEmpty,0.137
0,MgrB,pEmpty,0.138
0,MgrB,pEmpty,0.137
1,MgrB,pEmpty,0.185
1,MgrB,pEmpty,0.19
1,MgrB,pEmpty,0.188
1,MgrB,pEmpty,0.181
1,MgrB,pEmpty,0.184
1,MgrB,pEmpty,0.187
1,MgrB,pEmpty,0.191
1,MgrB,pEmpty,0.183
2,MgrB,pEmpty,0.258
2,MgrB,pEmpty,0.258
2,MgrB,pEmpty,0.263
2,MgrB,pEmpty,0.252
2,MgrB,pEmpty,0.256
2,MgrB,pEmpty,0.259
2,MgrB,pEmpty,0.266
2,MgrB,pEmpty,0.259
3,MgrB,pEmpty,0.32
3,MgrB,pEmpty,0.323
3,MgrB,pEmpty,0.323
3,MgrB,pEmpty,0.32
3,MgrB,pEmpty,0.336
3,MgrB,pEmpty,0.321
3,MgrB,pEmpty,0.275
3,MgrB,pEmpty,0.289
4,MgrB,pEmpty,0.427
4,MgrB,pEmpty,0.444
4,MgrB,pEmpty,0.452
4,MgrB,pEmpty,0.435
4,MgrB,pEmpty,0.454
4,MgrB,pEmpty,0.455
4,MgrB,pEmpty,0.422
4,MgrB,pEmpty,0.459
5,MgrB,pEmpty,0.533
5,MgrB,pEmpty,0.536
5,MgrB,pEmpty,0.559
5,MgrB,pEmpty,0.547
5,MgrB,pEmpty,0.555
5,MgrB,pEmpty,0.548
5,MgrB,pEmpty,0.477
5,MgrB,pEmpty,0.527
6,MgrB,pEmpty,0.58
6,MgrB,pEmpty,0.562
6,MgrB,pEmpty,0.58
6,MgrB,pEmpty,0.567
6,MgrB,pEmpty,0.575
6,MgrB,pEmpty,0.568
6,MgrB,pEmpty,0.488
6,MgrB,pEmpty,0.54
7,MgrB,pEmpty,0.614
7,MgrB,pEmpty,0.599
7,MgrB,pEmpty,0.595
7,MgrB,pEmpty,0.585
7,MgrB,pEmpty,0.588
7,MgrB,pEmpty,0.581
7,MgrB,pEmpty,0.498
7,MgrB,pEmpty,0.555
8,MgrB,pEmpty,0.63
8,MgrB,pEmpty,0.627
8,MgrB,pEmpty,0.613
8,MgrB,pEmpty,0.617
8,MgrB,pEmpty,0.613
8,MgrB,pEmpty,0.61
8,MgrB,pEmpty,0.508
8,MgrB,pEmpty,0.574
9,MgrB,pEmpty,0.653
9,MgrB,pEmpty,0.655
9,MgrB,pEmpty,0.634
9,MgrB,pEmpty,0.614
9,MgrB,pEmpty,0.639
9,MgrB,pEmpty,0.638
9,MgrB,pEmpty,0.521
9,MgrB,pEmpty,0.59
10,MgrB,pEmpty,0.671
10,MgrB,pEmpty,0.661
10,MgrB,pEmpty,0.653
10,MgrB,pEmpty,0.607
10,MgrB,pEmpty,0.663
10,MgrB,pEmpty,0.666
10,MgrB,pEmpty,0.533
10,MgrB,pEmpty,0.596
11,MgrB,pEmpty,0.677
11,MgrB,pEmpty,0.692
11,MgrB,pEmpty,0.672
11,MgrB,pEmpty,0.599
11,MgrB,pEmpty,0.693
11,MgrB,pEmpty,0.695
11,MgrB,pEmpty,0.539
11,MgrB,pEmpty,0.601
12,MgrB,pEmpty,0.653
12,MgrB,pEmpty,0.709
12,MgrB,pEmpty,0.677
12,MgrB,pEmpty,0.619
12,MgrB,pEmpty,0.699
12,MgrB,pEmpty,0.697
12,MgrB,pEmpty,0.544
12,MgrB,pEmpty,0.604
13,MgrB,pEmpty,0.639
13,MgrB,pEmpty,0.73
13,MgrB,pEmpty,0.683
13,MgrB,pEmpty,0.636
13,MgrB,pEmpty,0.71
13,MgrB,pEmpty,0.706
13,MgrB,pEmpty,0.544
13,MgrB,pEmpty,0.602
14,MgrB,pEmpty,0.638
14,MgrB,pEmpty,0.712
14,MgrB,pEmpty,0.698
14,MgrB,pEmpty,0.655
14,MgrB,pEmpty,0.713
14,MgrB,pEmpty,0.705
14,MgrB,pEmpty,0.54
14,MgrB,pEmpty,0.598
15,MgrB,pEmpty,0.614
15,MgrB,pEmpty,0.685
15,MgrB,pEmpty,0.695
15,MgrB,pEmpty,0.652
15,MgrB,pEmpty,0.716
15,MgrB,pEmpty,0.71
15,MgrB,pEmpty,0.536
15,MgrB,pEmpty,0.596
16,MgrB,pEmpty,0.609
16,MgrB,pEmpty,0.66
16,MgrB,pEmpty,0.69
16,MgrB,pEmpty,0.675
16,MgrB,pEmpty,0.703
16,MgrB,pEmpty,0.723
16,MgrB,pEmpty,0.532
16,MgrB,pEmpty,0.592
17,MgrB,pEmpty,0.6
17,MgrB,pEmpty,0.645
17,MgrB,pEmpty,0.68
17,MgrB,pEmpty,0.68
17,MgrB,pEmpty,0.69
17,MgrB,pEmpty,0.719
17,MgrB,pEmpty,0.528
17,MgrB,pEmpty,0.592
18,MgrB,pEmpty,0.595
18,MgrB,pEmpty,0.631
18,MgrB,pEmpty,0.666
18,MgrB,pEmpty,0.657
18,MgrB,pEmpty,0.685
18,MgrB,pEmpty,0.699
18,MgrB,pEmpty,0.526
18,MgrB,pEmpty,0.589
19,MgrB,pEmpty,0.598
19,MgrB,pEmpty,0.627
19,MgrB,pEmpty,0.673
19,MgrB,pEmpty,0.649
19,MgrB,pEmpty,0.682
19,MgrB,pEmpty,0.704
19,MgrB,pEmpty,0.523
19,MgrB,pEmpty,0.589
20,MgrB,pEmpty,0.631
20,MgrB,pEmpty,0.644
20,MgrB,pEmpty,0.667
20,MgrB,pEmpty,0.652
20,MgrB,pEmpty,0.7
20,MgrB,pEmpty,0.705
20,MgrB,pEmpty,0.52
20,MgrB,pEmpty,0.586